iso_alpha_3,n_futures,meets_ndc_unconditional_target,meets_ndc_conditional_target,region,2020_edgar_ghg_mt,unconditional_target,conditional_target,2030_q1_mean_value
CRI,991,1,1,Costa Rica,15.05880168,19.35202793,19.35202793,17.36578176
GEO,991,1,0.429868819,Georgia,17.30927193,29.27751549,20.88396156,18.65593563
GHA,987,1,1,Ghana,49.46923856,254.7186444,139.3633043,70.17669541
GNB,974,1,1,Guinea Bissau,3.137612121,12.30775385,9.638602409,1.998180348
HRV,990,1,1,Croatia,24.32926627,27.7617326,27.7617326,19.81503398
HTI,995,1,0.630150754,Haiti,14.77436904,22.79124187,16.68866891,12.9019606
ISL,993,1,1,Iceland,4.265571484,7.826988977,7.826988977,4.432517111
LVA,994,1,1,Latvia,11.64133999,13.26654265,13.26654265,1.421881296
MKD,989,1,0,North Macedonia,10.38655346,11.60954554,6.49708512,9.63815136
NER,984,1,1,Niger,39.87859904,93.88656244,81.36835412,49.44456356
NIC,991,1,1,Nicaragua,19.83910066,43.17678941,42.362133,18.53364451
PAK,992,1,0.989919355,Pakistan,527.436054,1518.812505,903.4126665,656.9252413
RUS,992,1,1,Russia,2432.511966,3112.826153,3112.826153,2596.446983
SYC,995,1,0.915577889,Seychelles,1.131756799,1.619383628,1.177733547,0.700391811
TUR,992,1,0.776209677,Türkiye,614.4939648,1517.104154,897.3509677,782.3191515
UGA,984,1,1,Uganda,53.92462503,127.0048604,101.6220189,63.36580956
UKR,990,1,1,Ukraine,274.4608648,366.8398305,366.8398305,160.8493825
UZB,996,1,1,Uzbekistan,211.861638,413.6905033,413.6905033,225.711289
