IPCC_annex,C_group_IM24_sh,Country_code_A3,Name,Substance,Y_1970,Y_1971,Y_1972,Y_1973,Y_1974,Y_1975,Y_1976,Y_1977,Y_1978,Y_1979,Y_1980,Y_1981,Y_1982,Y_1983,Y_1984,Y_1985,Y_1986,Y_1987,Y_1988,Y_1989,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018,Y_2019,Y_2020,Y_2021,Y_2022,Y_2023,Y_2024
Non-Annex_I,Southeastern Asia,LAO,Lao People's Democratic Republic,GWP_100_AR5_GHG,4731.995422,4596.4214,4534.207501,4552.929098,4645.165724,4522.024605,4059.62328,4289.405765,4467.349796,4905.922941,5479.760223,5363.34584,5609.386098,5480.261148,5750.121174,5762.375071,5918.846423,5861.244537,5880.063368,6229.130021,6771.516614,6795.667451,7165.417067,7254.604704,7668.53843,7751.600331,8013.898743,8246.384466,7925.014581,7850.844271,8895.475538,9253.788331,9580.355363,9874.765414,10457.13307,10291.89334,10846.87885,11474.86124,12001.99992,12989.39073,13834.93881,13842.73572,14839.73279,15480.09928,16375.21717,21374.73786,29046.42106,32411.60781,33114.96418,32964.13207,33521.80009,37853.82276,38498.78485,41173.20001,41549.63758
Non-Annex_I,Middle_East,LBN,Lebanon,GWP_100_AR5_GHG,6726.553374,6894.155534,7452.985145,8894.296334,8940.272976,8030.421113,7653.334961,6818.368107,8103.724691,8956.758236,9107.356946,9231.848467,7236.873073,7612.475466,7772.262376,8793.910067,9211.130189,9397.441069,7620.3375,7707.2124,7752.134084,9370.29841,10048.23048,13615.51403,14782.43902,16940.84817,17618.11356,19176.12944,19161.82482,19717.75538,18172.35052,19593.73727,19707.36804,19959.6723,20371.61279,20380.89357,20033.49939,18888.27598,22350.3464,25778.51884,24899.02113,25465.96754,28230.2456,28072.70043,30182.02431,32417.30301,33654.50895,35352.67775,33725.11261,33563.22749,28630.76485,23757.97851,17710.2944,18360.02633,18786.31463
Non-Annex_I,Western_Africa,LBR,Liberia,GWP_100_AR5_GHG,1612.666492,1633.335231,1660.234154,1718.90035,1788.675217,1824.831539,1880.436306,2046.076787,2079.117912,2334.05164,2298.026218,2125.818934,2081.167539,2185.054578,2077.641241,2093.523384,1958.881924,2014.782992,2292.370765,2053.69889,1808.570505,1586.47772,1474.16775,1364.990538,1326.850224,1356.563615,1459.608001,1591.78178,1769.349341,1955.009514,2189.69963,2229.898842,2279.535816,2364.20113,2468.08128,2704.066137,2984.86,2883.979452,2891.867139,3066.730696,3395.764095,3564.232089,3711.384766,3712.35345,4106.8043,4288.941364,4509.40995,4335.401107,3811.885322,4333.74268,4210.455338,4210.309206,4367.674657,4412.551821,4459.908544
Non-Annex_I,Northern_Africa,LBY,Libyan Arab Jamahiriya,GWP_100_AR5_GHG,137624.3326,125677.331,101829.8645,98716.58282,69927.41053,72169.74048,93389.81906,98996.37287,97992.39972,105285.834,97151.69748,70830.08401,74198.69124,71089.93982,71152.23741,67868.6983,70454.83249,67844.68702,75872.55596,74780.83262,87038.45109,84678.9148,79309.01846,75449.11821,91464.08207,101456.7732,105896.8266,93325.716,89330.01482,87512.06356,91731.50044,88275.76501,88514.67311,98309.82906,96934.8325,104478.2659,102799.6375,96255.51356,100572.2317,100243.2664,106059.1194,62575.30136,99545.59555,90633.90823,80399.90649,71718.80251,68153.26226,82061.60664,88531.3021,91637.77874,64448.03678,92615.45695,89944.70759,97951.64408,98170.87612
Non-Annex_I,Rest Central America,LCA,Saint Lucia,GWP_100_AR5_GHG,78.3245919,80.49994917,86.58850887,87.17355966,83.31464601,90.79907962,88.68987283,94.41423685,96.41978316,97.96578977,99.3835872,91.28767675,100.3337488,97.36845792,103.2486346,113.9707593,117.1791937,125.2573363,145.6674905,148.626858,149.5172045,149.3272561,149.5236336,147.9977703,163.1441769,168.2674445,170.9017998,178.6520706,188.4215141,201.0361269,213.7075707,219.2605264,211.9887453,226.0649065,221.5297982,225.5555913,236.9341095,247.6015803,257.5949604,269.0782443,288.9760289,250.989343,259.8413985,282.781076,299.5020351,306.4983126,322.9767551,330.3501266,396.1459883,436.3703642,423.1983244,429.7412895,449.7645702,454.1515146,468.5209727
Non-Annex_I,India +,LKA,Sri Lanka,GWP_100_AR5_GHG,9876.093146,10154.9732,10877.77843,11100.49545,10812.23594,10481.32303,10809.78221,10966.21514,11552.4024,12086.61421,12267.82671,12581.7797,13347.69975,13573.12122,13278.1602,13006.79538,12984.60143,13799.58756,13566.73804,13453.42289,15918.39257,15469.51954,16876.13675,17053.42736,18195.87884,18207.42355,20173.41276,20199.42135,19573.74751,21019.70415,22454.26634,22142.2179,22784.29205,24038.48692,24130.10123,25991.88656,24840.02456,25620.72249,25825.38596,24948.12475,26548.77874,28680.87774,30752.36029,28020.57292,30090.75378,33265.33428,36126.84699,34724.36467,34501.09197,36304.55976,35882.83975,36065.26818,34125.90963,35185.35761,37166.53456
Non-Annex_I,Southern_Africa,LSO,Lesotho,GWP_100_AR5_GHG,1907.716704,1812.42908,1768.972867,1746.803986,1805.253476,1856.914263,1833.81134,1696.574482,1717.67311,1796.549978,1904.292159,1916.679909,1944.880795,1912.860588,1890.968815,1971.43838,1999.985042,2295.148328,2217.610295,2151.100903,2128.551722,2171.644164,2334.757449,2295.731362,2241.703646,2194.6791,2112.357479,2191.935977,1944.461936,2531.109079,2668.045198,2681.111755,2545.557024,2581.706095,2575.021135,2745.129042,2702.887427,2839.410059,2703.348613,2801.504818,2806.916874,2843.567878,2906.798198,2810.296816,2818.088479,2784.55919,2820.991664,3031.364512,2929.748331,2811.948429,2474.944668,2621.380546,2911.493262,3070.958459,3054.965167
Annex_I,Central Europe,LTU,Lithuania,GWP_100_AR5_GHG,31430.96842,31885.8707,33537.9809,35478.93773,37438.09849,39212.94263,40423.72579,41491.99952,42796.68266,43898.4577,45176.62226,45452.56221,45522.6578,45783.63717,46550.8701,46552.04905,47055.74593,47506.40785,47299.34772,46918.01525,48610.56372,50160.19676,33012.88933,26644.28837,25068.21467,23928.72427,24440.23244,23988.74269,24951.93458,22030.23151,20419.88041,21100.04538,21607.3866,21684.4496,22559.10589,23578.53765,23865.14787,25954.88271,26421.21606,23317.28227,24224.60464,25112.80843,25434.13108,23904.60671,23948.66172,24728.5059,24468.43487,24903.48466,24454.93723,24656.37706,24449.79882,24287.8232,22299.74621,21575.55032,21535.70711
Annex_I,OECD_Europe,LUX,Luxembourg,GWP_100_AR5_GHG,20518.24836,19122.64496,18749.05955,20207.92058,18701.52309,14969.16257,15899.42216,15167.12024,16375.28423,15565.45249,14585.79224,12594.83563,11830.97161,11054.9013,12110.76018,12240.80276,11967.2296,11366.47185,11832.06989,12643.70065,12930.72993,13439.82759,13159.76399,13380.81242,12445.55197,10048.28626,10122.4207,9510.718719,8761.806281,9157.898,9782.038255,10325.93378,11008.98858,11419.67306,12847.29059,13076.60552,12881.45809,12297.9004,12182.24978,11584.60315,12204.72081,12061.09559,11822.62997,11291.5794,10797.99104,10296.43117,10036.10731,10194.05478,10529.38285,10659.92591,8924.579112,9317.911432,8192.437656,7852.474207,8053.66742
Annex_I,Central Europe,LVA,Latvia,GWP_100_AR5_GHG,17712.4353,17958.23267,18854.8391,19938.12916,21035.22902,22157.02869,22841.55631,23370.9713,24144.27766,24710.90374,25415.99665,25643.40126,26108.79381,26452.9608,26669.44744,26810.35418,27205.8863,27586.84868,27429.22096,27134.54886,27546.43418,25797.83267,21714.80266,18464.5659,15296.08614,13658.12442,13637.35556,13100.63929,12559.73135,11916.43738,11099.24351,11701.86217,11759.28739,12061.66273,12139.56332,12286.21604,12878.30649,13308.95464,12910.40651,12156.72017,13228.63455,12650.91918,12575.37116,12329.16369,12209.94854,12480.76472,12465.50445,12332.45579,12911.06351,12784.10378,12188.51404,12448.50491,11823.61104,11698.02093,11642.38885
