iso_alpha_3,year,total_emissions_excl_lulucf,total_emissions
REU,2019,2.9019660879169,2.9019660879169
REU,2020,2.8899632654597,2.8899632654597
REU,2021,2.9017514349342,2.9017514349342
REU,2022,2.9198132526537,2.9198132526537
REU,2023,2.9795823628328,2.9795823628328
ROU,2000,130.37855075502,100.08342149502
ROU,2001,136.00031808276,104.90393121276
ROU,2002,135.6109675314,105.9851902214
ROU,2003,140.65752141501,110.38485100500999
ROU,2004,140.36737692003,110.17002901003
ROU,2005,138.32832917228,107.19101070228001
ROU,2006,144.77263287335,113.99172792335
ROU,2007,142.50963566974,110.66150194974
ROU,2008,140.04509589622,107.65450079622
ROU,2009,118.24572655209,88.86117377209001
ROU,2010,116.51313520098,81.20238119098
ROU,2011,122.41020958158,86.47332169158
ROU,2012,119.39050104804,80.87595402803998
ROU,2013,111.22146237029,72.57038138029
ROU,2014,111.31122038896,61.99362717896
ROU,2015,112.2451566555,63.7656849655
ROU,2016,111.54455968127,60.96757201127
ROU,2017,115.21039024377,66.43136375377
ROU,2018,116.06003063877,69.22140536877001
ROU,2019,113.96594066465,67.12557882465
ROU,2020,108.1538459384,58.943717468399996
ROU,2021,113.47833337826,65.61170174826
ROU,2022,107.30607136536,61.47053096536
ROU,2023,101.28636141848,54.72765293848
RUS,2000,2084.3476298543,674.5605618543
RUS,2001,2092.1256391312,574.9913731311999
RUS,2002,2084.5671281882,630.6139481882001
RUS,2003,2150.1386205417,821.9920155417003
RUS,2004,2162.8786505558,431.67521655580003
RUS,2005,2166.7250726837,493.86428068370014
RUS,2006,2203.8701592366,501.77720723660013
RUS,2007,2216.1012173482,471.41826834819994
RUS,2008,2206.7808633861,532.8048393861
RUS,2009,2092.0750465347,364.66862453470003
RUS,2010,2191.192778844,490.9172938439999
RUS,2011,2283.4198160165,943.1836050165002
RUS,2012,2293.7574310267,1340.3228722267
RUS,2013,2243.8938086202,835.9640766202001
RUS,2014,2233.8809602865,999.9363992864999
RUS,2015,2248.7539296942,1064.1681036942
RUS,2016,2237.8431077533,1179.3507927533
RUS,2017,2286.9044489797,1116.8660839797
RUS,2018,2376.9299795898,1308.6095675898
RUS,2019,2409.0263032525,1456.2219794525
RUS,2020,2325.7998613895,1201.2342943895
RUS,2021,2498.4553331653,1698.7500725653001
RUS,2022,2459.3933507985,1259.4399367984997
RUS,2023,2512.819593253,1319.7106232530002
RWA,2000,4.1093026389556,-1.8646973610444002
RWA,2001,4.2446489800562,-1.7293510199437998
RWA,2002,4.4502789380605,-1.5237210619394999
RWA,2003,4.5828465276958,-1.3911534723042003
RWA,2004,4.7235577312833,-1.2504422687167
RWA,2005,4.7960970710746,-1.1779029289254002
RWA,2006,5.0702266911749,-0.34577330882510005
RWA,2007,5.1862971859811,-0.36920281401890076
RWA,2008,5.398046295588,-0.2969537044120001
RWA,2009,5.5457645901327,-0.28873540986730006
RWA,2010,5.8254477458345,-0.14855225416549978
RWA,2011,5.7781252555724,-0.3353747444276003
RWA,2012,5.9572005885157,-0.29579941148430056
RWA,2013,6.153126462795,-0.2393735372050001
RWA,2014,6.2212377004414,-0.3107622995585997
RWA,2015,6.8754863236051,0.2039863236050996
RWA,2016,6.8912179661248,0.08021796612479992
RWA,2017,7.0400887918494,0.08958879184940027
RWA,2018,7.3037610476517,0.21376104765170023
RWA,2019,7.4914097932454,0.40140979324540016
RWA,2020,7.6415400580161,0.5515400580161005
RWA,2021,7.8139303638205,0.7239303638205001
RWA,2022,8.2309227321633,1.1409227321633004
RWA,2023,8.3468967797015,1.256896779701501
SAU,2000,350.31483849822,344.62033849822
SAU,2001,362.48112732278,356.46581732278
SAU,2002,380.35156812625,374.01544812625
SAU,2003,407.38807703106,400.73114703106
SAU,2004,429.75684209571,422.77910209571
SAU,2005,457.15851284721,449.85996284721
SAU,2006,480.83646061988,473.21710061987994
SAU,2007,502.56805706823,494.62788706823
SAU,2008,538.92769880891,530.66671880891
SAU,2009,558.5048326176,549.9230426176
SAU,2010,603.27070233383,594.3681023338299
SAU,2011,634.2139190695,625.3039390695
SAU,2012,669.68062781491,660.70422781491
SAU,2013,678.32010133069,669.34370133069
SAU,2014,721.0808926054,712.1044926054
SAU,2015,752.88706664233,743.9106666423299
SAU,2016,757.45568562376,748.47928562376
SAU,2017,752.69421206778,743.71781206778
SAU,2018,736.70534994965,727.72894994965
SAU,2019,738.285007055,729.308607055
SAU,2020,740.204805978,731.228405978
SAU,2021,757.99454898504,749.0181489850399
SAU,2022,804.65387788438,795.67747788438
SAU,2023,818.19172594842,809.21532594842
SCG,2000,65.845013139656,65.845013139656
SCG,2001,69.869280133661,69.869280133661
SCG,2002,73.916441121494,73.916441121494
SCG,2003,76.96446047184,76.96446047184
SCG,2004,82.44559933999,82.44559933999
SCG,2005,76.58621178879,76.58621178879
SCG,2006,78.162147372436,78.162147372436
SCG,2007,76.779830521465,76.779830521465
SCG,2008,76.141219813649,76.141219813649
SCG,2009,71.196739041139,71.196739041139
SCG,2010,72.936257714695,72.936257714695
SCG,2011,77.14820234999,77.14820234999
SCG,2012,69.712140240851,69.712140240851
SCG,2013,71.085134301816,71.085134301816
SCG,2014,61.521407381381,61.521407381381
SCG,2015,69.645429645069,69.645429645069
SCG,2016,71.840040418536,71.840040418536
SCG,2017,71.828293094663,71.828293094663
SCG,2018,70.324973561506,70.324973561506
SCG,2019,70.903026652321,70.903026652321
SCG,2020,71.598837429093,71.598837429093
SCG,2021,69.632179248963,69.632179248963
SCG,2022,70.234731706582,70.234731706582
SCG,2023,68.126245581279,68.126245581279
SDN,2000,95.630984931878,103.648984931878
SDN,2001,100.79276175629,108.81076175629
SDN,2002,104.42017384572,112.43817384572
SDN,2003,107.90554557219,115.92354557219
SDN,2004,110.67908766658,118.69708766658
SDN,2005,114.42841259741,122.44641259741
SDN,2006,117.39178521433,125.40978521433
SDN,2007,120.58296082931,128.60096082931
SDN,2008,122.21956461428,130.23756461428002
SDN,2009,124.08898736415,132.10698736415
SDN,2010,124.9455856551,132.96358565510002
SDN,2011,121.72459103046,129.74259103046
SDN,2012,123.45652999147,131.47452999147
SDN,2013,124.79532907172,132.81332907172
SDN,2014,126.71758172602,134.73558172602
SDN,2015,130.18881024751,138.20681024751
SDN,2016,134.00246221729,142.02046221729
SDN,2017,133.67378777535,141.69178777535
SDN,2018,137.99104823975,146.00904823975
SDN,2019,138.21324353847,146.23124353847
SDN,2020,137.71674395657,145.73474395657001
SDN,2021,139.71642609315,147.73442609315
SDN,2022,139.45956506921,147.47756506921
SDN,2023,138.35990114459,146.37790114459
