iso_alpha_3,year,cap_liberal_democracy_idx,cap_corruption_idx,cap_control_corruption,cap_govt_effectiveness,cap_political_stability,cap_regulatory_quality,cap_voice_accountability,con_ndgain_score,con_ndgain_vulnerability,con_renewables_share_elec_pct,inc_has_carbon_tax,inc_has_framework_law,inc_has_renewable_target,x_log_signed_con_coal,x_log_signed_con_hydro,x_log_signed_con_edgar_ghg_mt,x_log_signed_con_demand,x_log_signed_con_primary_energy_twh,x_log_signed_con_other_fossil,x_log_signed_con_demand_per_capita,x_log_signed_con_energy_per_capita_kwh,x_log_signed_cap_gdp_per_capita_ppp_current,x_log_signed_inc_carbon_pricing_coverage,x_log_signed_con_electricity_access_pct,em_lag_1y
CAN,2011,0.746,0.029,1.97113347053528,1.77254545688629,1.07717573642731,1.68484020233154,1.38014459609985,70.1693515800989,0.282921264521633,62.151,0.0,1.0,1.0,2.6789646202071133,4.335982696172475,6.687676243972361,6.40123703180245,8.26901820136656,1.1878434223960523,2.9128939952449864,11.633960779562743,10.637484826238225,0.0,4.61512051684126,6.661150247628466
CAN,2012,0.742,0.029,1.91890442371368,1.75697004795074,1.11301624774933,1.70719468593597,1.43750536441803,69.897957310751,0.282637109936743,63.369,0.0,1.0,0.0,2.663052835171474,4.335458998857547,6.663281297923587,6.381460624312215,8.269422106643963,1.1878434223960523,2.884241897520628,11.623798360506743,10.65237622678286,0.0,4.61512051684126,6.687676243972361
CAN,2013,0.746,0.021,1.87937796115875,1.78074109554291,1.06142175197601,1.72989094257355,1.45344030857086,69.9347988967918,0.282478761386464,63.365,0.0,1.0,0.0,2.4203681286504293,4.3351970473170836,6.6803968579884465,6.404914359120166,8.295386496111698,1.1878434223960523,2.896464271895322,11.639204185436185,10.698786371500331,0.0,4.61512051684126,6.663281297923587
CAN,2014,0.743,0.021,1.83219265937805,1.75371766090393,1.17550384998322,1.83872532844543,1.41233158111572,70.156111859112,0.282185221877821,62.367,0.0,1.0,0.0,2.3960754360813845,4.334672938290411,6.664278247872305,6.410766812004168,8.296585422287064,1.1878434223960523,2.8925915146344776,11.630792390441096,10.731145973975316,0.0,4.61512051684126,6.6803968579884465
CAN,2015,0.745,0.021,1.84565019607544,1.7309353351593,1.26233685016632,1.70605802536011,1.46729922294617,69.9100549138531,0.281935186256586,63.841,0.0,1.0,1.0,2.3960754360813845,4.3848975097655645,6.701806852838941,6.401170649473401,8.29964719452233,1.1878434223960523,2.8752581200861167,11.62469343299137,10.707067518686962,0.0,4.61512051684126,6.664278247872305
CAN,2016,0.765,0.021,1.94446551799774,1.7445410490036,1.24041163921356,1.72741413116455,1.44561123847961,69.6538638493344,0.282045932704806,64.565,0.0,1.0,1.0,2.3960754360813845,4.396052806406973,6.676583883994702,6.404120406351728,8.287537733586788,1.1878434223960523,2.8678989020441064,11.601764250398178,10.74659765590596,0.0,4.61512051684126,6.701806852838941
CAN,2017,0.769,0.021,1.88144600391388,1.81557297706604,1.08968114852905,1.87965595722198,1.47808432579041,69.2550147936024,0.283117921729112,65.819,0.0,1.0,1.0,2.3960754360813845,4.40256428589143,6.693136710330474,6.410355786654558,8.300934634042434,1.1878434223960523,2.8616292890305104,11.602721963239759,10.78556745965357,0.0,4.61512051684126,6.676583883994702
CAN,2018,0.765,0.021,1.79020822048187,1.67513394355774,0.963971078395844,1.69941985607147,1.50241100788116,68.7489787252761,0.284672258179706,65.546,0.0,1.0,1.0,2.334083760053417,4.411585436915426,6.724854404577386,6.419994928147142,8.314707049027101,1.1878434223960523,2.8587664184808337,11.603367423280961,10.819450228842632,0.0,4.61512051684126,6.693136710330474
CAN,2019,0.768,0.023,1.72989678382874,1.69731068611145,0.994933545589447,1.71000242233276,1.43030834197998,68.4509950689282,0.283846146718464,65.382,0.0,1.0,1.0,2.3194422100604686,4.411585436915426,6.709371992140237,6.412835812233203,8.309181818990188,1.1878434223960523,2.839663087904102,11.584842556754426,10.8297280827038,0.0,4.61512051684126,6.724854404577386
CAN,2020,0.75,0.029,1.56571280956268,1.59831285476685,1.01318228244781,1.5925897359848,1.47166883945465,67.8266193919315,0.283558443300829,66.595,0.0,1.0,1.0,2.281361456542419,4.409276949164042,6.624736580791768,6.395678873314494,8.252170837356623,1.1878434223960523,2.813610696762703,11.51757572572791,10.791207667923521,0.0,4.61512051684126,6.709371992140237
