iso_alpha_3,year,income_group,region,pop_growth_hp_trend,renewable_energy_consumption_pct_hp_trend,forest_area_pct_hp_trend,gdp_growth_pct_hp_trend,gdp_per_capita_growth_pct_hp_trend,manufacturing_pct_of_gdp_hp_trend,log_pop_total_hp_trend,log_gdp_2021_ppp_intl_usd_hp_trend,log_gdp_per_capita_2021_ppp_intl_usd_hp_trend,log_imports_pct_of_gdp_hp_trend,log_industry_pct_of_gdp_hp_trend,log_exports_pct_of_gdp_hp_trend,log_total_emissions_hp_trend,log_gdp_2021_ppp_intl_usd_lag1_hp_trend,log_pop_total_lag1_hp_trend
KGZ,2022,Lower middle income,Europe & Central Asia,2.023994793690413,28.045665759448497,6.972554761502339,3.9305636897696505,1.8528675692871845,13.097043702906511,15.759915172851871,24.467425520924202,8.707675476796696,4.187064974688338,3.2843022235851462,3.5869471404130175,2.584719761184781,24.430476930037873,15.739675227867885
KHM,2001,Lower middle income,East Asia & Pacific,1.5286378108281928,82.99043040628766,61.762221485133296,8.798575662462765,7.1488037954916805,18.884242056568745,16.353938587073927,23.97572475859382,7.622264314622632,4.200165960799351,3.2585702403422134,4.034086574198695,4.590045869923132,23.89158825912836,16.338652210179983
KHM,2002,Lower middle income,East Asia & Pacific,1.5235443626567233,81.60362316273806,61.53566788266185,8.926093707172754,7.279938296267412,19.21230139431369,16.36898946545147,24.064810659774995,7.696271876354285,4.208016683257581,3.27266437808628,4.041820584509794,4.600123242003265,23.97951402301996,16.353754023018034
KHM,2003,Lower middle income,East Asia & Pacific,1.518781222964407,80.19191161512559,61.301157995545296,9.039523101765164,7.396841423529138,19.524060205533686,16.384039340951006,24.15384585188184,7.770229871101633,4.215071060514309,3.2860630090366127,4.048760678794506,4.610086036709735,24.06751750095693,16.368851529893572
KHM,2004,Lower middle income,East Asia & Pacific,1.5148671824046183,78.72435522776,61.04395839804136,9.098164987101656,7.458868656470243,19.8002498129196,16.399089938278657,24.24244572248839,7.843752296709721,4.220208847334546,3.2980697809486283,4.053802362788505,4.619627164392307,24.155587805266073,16.383941267606634
KHM,2005,Lower middle income,East Asia & Pacific,1.51224393855292,77.16709434879976,60.743817229704966,9.073762086097927,7.437704491450733,20.025329923135832,16.41414631814954,24.329980261706627,7.916204513085336,4.222183054163607,3.308212271151102,4.055468349138783,4.628348704385225,24.24335307651073,16.399023879896973
KHM,2006,Lower middle income,East Asia & Pacific,1.5109420228648556,75.50602577412579,60.37644979888652,8.941652419909051,7.309008638380331,20.197952433991105,16.429213746360322,24.415591742878966,7.98672400706212,4.2202462090811,3.316599452967827,4.05298533051621,4.635630176121448,24.330178638258342,16.414104327246772
KHM,2007,Lower middle income,East Asia & Pacific,1.5104456727756599,73.74737535613099,59.9154536019385,8.719469727187578,7.090701623683063,20.32431026270978,16.44429289143322,24.498568361250705,8.054598673731713,4.214403502860363,3.3237288432856533,4.046303096000964,4.640759682518237,24.415193023766566,16.429188435803574
KHM,2008,Lower middle income,East Asia & Pacific,1.509889136038744,71.922308689467,59.33489560504687,8.444864823068661,6.820793127528914,20.429612935912214,16.459376744628486,24.578526615312622,8.119452217058962,4.205853604521531,3.3309672519425053,4.036688358066292,4.643012953530122,24.497668704430417,16.444277854349515
KHM,2009,Lower middle income,East Asia & Pacific,1.5080576469863824,70.07251761522419,58.61283581372375,8.172278406427592,6.554200205506955,20.548535538719854,16.474447382915972,24.65557080043008,8.181406843230697,4.196632629257447,3.3401653303887295,4.026238148005434,4.641709685658988,24.577210442081533,16.459366807510317
