x_log_signed_con_primary_energy_twh__last,con_fossil_share_elec_pct__last,x_log_signed_con_electricity_access_pct__last,vulnerability_indicator
4.794319191091107,11.434516394984946,3.73575922399725,1
4.387566294964595,23.574444747772013,3.913743996497431,0
4.384114853678624,13.56804547305508,4.06224479182567,0
4.169448364129815,17.795884474075223,4.086809805755492,0
4.4233101703264435,19.273702388928996,3.937294387700745,1
4.360019866757137,7.4576491563138605,3.813278589879108,0
4.12264934721307,23.996826430637213,3.789369937961035,0
4.256011457300044,18.834586973194945,3.864343924487592,0
3.862598372669964,10.881281118082631,3.933448128191251,0
4.832979134742221,9.6061244155562,3.827404572791138,1
3.8896148977458544,29.4063883937339,3.608340182273755,0
4.6580522204492905,19.433449747336557,3.9636235700698097,1
4.904125488724639,21.143115899421797,4.161445621266915,1
4.302688590202457,42.74798832911569,4.006028526412286,1
4.346567215548013,4.367152007324025,3.965549662148991,0
4.669412096426987,16.58536033388301,4.168998718524613,1
4.808094369263767,23.490674724088272,4.091878208305576,1
3.983637170934343,21.540104415590704,4.146872159282034,0
4.348714936747678,29.94351875620698,4.01756257915615,0
4.498792393549266,32.41677527844275,4.285075467589653,1
4.327036129293067,2.2992049773290417,4.141034591138156,0
4.669971263511924,14.15821381517155,4.314879943814522,1
4.82315617839882,16.39271632778708,3.889095832351191,1
4.554914292698648,25.564551736776217,3.9345726298460777,1
4.173914508306033,27.92211736913912,3.893679603232479,0
5.057255450612898,18.75377359926459,4.164429522850763,1
4.164542496732633,24.208476471585954,3.972472464688128,1
4.745666703189151,15.863511626349869,3.8990214749791887,1
4.067362708882388,33.518139958507575,3.911028535761995,0
4.4014663335275035,25.231178545579873,3.966030512396393,0
4.395486467004306,18.464137192489986,3.5873515212896554,0
4.69851424245197,8.38381390542472,3.95655899558618,1
3.775979508330314,27.731739433966904,3.826444635954617,0
4.227594830787377,22.11955075785296,3.9055585264164447,0
4.576275208929795,25.739421681682018,3.77618589760554,1
4.372601956493174,15.368887344855777,3.934135525218277,0
4.020416767191959,35.708190290581996,3.9853033290278375,0
4.390622420641548,30.92143078351459,3.91443702964117,0
4.627115265481963,21.034733217580538,3.7537655987090153,1
4.505592124722169,19.81705729310396,3.945916097900216,0
3.989867958009409,38.44735135557458,3.9524265441747866,0
4.050186216411129,32.64966483518562,4.016719558284787,0
4.328849734830317,20.45772705383478,4.0682698594926565,0
4.5735422706815,16.5777118620027,3.979330847840708,1
4.652928664826872,22.539712475893744,3.896167589115606,1
4.094423859852827,17.65273967063287,3.9491386671291857,0
4.575278846840053,26.24871164816488,4.122634117420011,1
4.118384127603884,13.310759848382562,4.114978407407102,0
4.533140503906463,28.956838348819844,4.165047743160794,1
4.3216272328388765,10.535911259725568,4.131304165749793,0
4.5220740322052775,17.766609239611256,4.223374233759285,1
4.497283751060631,21.03665392364616,3.9027561720633366,1
4.564871736600628,21.928365669311255,4.136966763967636,0
4.459692740497118,24.786650287765077,4.141192065388586,1
4.2406608648207005,10.39721349893398,3.966819851748502,0
4.637147848547862,28.85055711187062,4.165453078349302,1
4.196040624226747,21.380882145611604,3.945720857449575,0
4.700253080831432,36.37906862777975,3.644345174683922,1
4.725512999555415,22.571930421565963,4.149096664146939,1
4.321470816520341,5.660916199089954,4.022478210834003,0
4.453625819169799,25.326225560123387,4.029733800153008,1
4.3488838462229324,4.2111879944074175,3.739939318320117,0
4.258935920302626,9.21075769313576,3.873513869832927,0
4.549921804640476,27.83995379905773,3.996027251426998,1
4.715939092267408,21.86248169227222,3.90198201234673,1
4.485252585890783,2.864081609973296,3.902695335719336,1
3.913698974535068,0.0,3.834056233654876,0
4.133889551695768,10.46460716249436,4.138090987536257,0
4.370173715436824,28.37371698195583,4.096192858496917,1
4.329550824316794,0.0,4.04195798784922,0
4.12412890605748,2.77065925941305,4.030356315127208,0
4.10922278935536,10.970045778253647,4.071745756197596,0
4.055574733809266,4.453982149326298,3.951019477327453,0
4.573577295758314,19.712366407345616,3.979076161613166,1
4.288323452752812,26.318151841896142,4.17952147456291,0
4.299537530937135,18.63839960046676,4.123177192746243,0
4.5879927120973,23.516477948820363,4.063585809737138,1
4.035574730248672,11.324566212983177,4.0456651690643755,0
4.268470771835762,25.921271094852894,4.0527022915445885,0
4.134264256300344,18.39926795347185,3.9405687154758766,0
4.119164929784023,20.098881400804164,4.021935005231353,0
4.655271265346267,12.396649712809335,4.003643245348299,1
4.327412779182396,10.75686732191012,4.063827159371226,0
4.731593865302112,34.17714926956853,3.8821747765424055,1
4.999210273548396,26.185812478368724,4.001216158977312,1
4.077498669605555,10.552454587303846,3.976247459010842,0
4.2516239295897575,16.780775590843362,3.882835037501021,0
3.9135450485891736,1.5381475339500823,3.855321825353019,0
4.249125113663652,22.216005077031337,4.242258795795089,0
3.9959592042214567,4.160483467830311,3.919329746123135,0
4.523427176770847,32.815962766804894,3.7440082841022018,1
4.616178368600688,34.43070116290856,3.894632973432545,1
4.467516546935233,8.611863584455957,3.66335624636616,1
4.4510168630342655,15.541643088025966,3.8952890363561368,1
4.521460169385494,33.84870887650509,3.941740277785336,1
4.421682127278238,19.481361904492463,4.004928372070222,1
4.343901431997433,17.730014517048083,4.032352613809092,0
4.335734793145704,32.69686656848632,3.887425690326745,1
4.714333861799718,30.38162573214308,3.9995790455540807,1
4.36301971485568,11.727544135856675,4.05609476287047,0
4.080993724596977,29.02313792987609,4.129098833234773,0
4.416785232983836,19.488892488330094,3.9538193879793457,1
4.476192399068093,16.320728918658443,4.110851747369476,0
3.8216490794871727,25.103037084545715,4.091949326238868,0
4.4209392580843385,32.57445550373059,4.106969826035778,1
4.358481897841193,15.782295310379938,3.9786678744123103,1
4.464770229919722,4.601638547409175,4.250071945470953,0
4.262042651328356,9.448942038465944,4.1657396003983935,0
4.046610643860298,14.434198696387664,4.038546808505362,0
4.508521097602225,21.173239342070392,3.7919221688169897,1
4.122125620336842,20.24079402376487,3.918491185787176,0
4.3629489248939155,21.464372361456537,3.979189861550933,0
4.462848605390238,27.103923474529303,4.059828460221518,1
4.737882017431563,25.000208291689685,4.029793818069629,1
4.275978875799781,16.143566182592295,4.047071962388012,0
4.324237112666867,10.854583654615949,3.9278996271905378,0
4.807509823635861,27.379586000083556,3.866820248067649,1
4.364374458185784,19.601490319729024,3.616550042869386,1
4.646811820508631,23.14866180654261,3.94268859002131,1
4.87103992205702,28.17048684967957,4.080484049719567,1
4.503659120818365,24.597135199193815,3.914384261861292,1
4.31841356224472,17.550887125652984,3.85856263402778,0
4.024893578361205,11.39711735118222,3.880618602217515,0
4.541760229950082,35.414294791468734,3.8541547263672897,1
4.296594744052252,17.48130836517206,4.0392647487733955,0
4.421476353264502,25.40879439728366,3.855669616196552,1
4.399757300721573,8.398751814979363,3.933854088539684,0
4.4748733139021,26.872463037380744,3.7946232219662535,1
4.667389551999341,21.48441905038822,3.9512005474192984,1
4.57735099523941,38.56623032625213,3.70941127361473,1
3.951504843412849,16.269059179910442,4.023522081791911,0
3.849999615868102,47.010832069346165,3.9241224482970978,0
4.819744878098685,19.687578797494123,4.0497975075078205,1
4.321343414752629,15.558098621648451,3.794063006588952,0
4.140931999528586,39.96829185183821,4.1327717610464765,0
4.726785659795993,32.93551252343496,3.949541194726704,1
4.438378125440127,27.461412328492283,3.7373999419656263,1
4.688966222897712,14.80984986777252,3.8725019191735406,1
4.305465186802176,0.0,4.0523817475515,0
4.668678365669265,15.068052805780509,3.832421159806079,1
