future_id,iso_alpha_3,2022,2030,vulnerability_threshold,vulnerability_indicator,ndc_unconditional
id_JPN_200,JPN,1156.9285210437156,930.612292777518,1087.8404723653855,0,760.3
id_JPN_201,JPN,1156.9285210437156,1056.6563631163517,1087.8404723653855,0,760.3
id_JPN_202,JPN,1156.9285210437156,1075.5251262494637,1087.8404723653855,0,760.3
id_JPN_203,JPN,1156.9285210437156,1122.4482941949373,1087.8404723653855,1,760.3
id_JPN_204,JPN,1156.9285210437156,965.3645193461098,1087.8404723653855,0,760.3
id_JPN_205,JPN,1156.9285210437156,1031.192886154166,1087.8404723653855,0,760.3
id_JPN_206,JPN,1156.9285210437156,1106.8144224274586,1087.8404723653855,1,760.3
id_JPN_207,JPN,1156.9285210437156,1041.9509343234422,1087.8404723653855,0,760.3
id_JPN_208,JPN,1156.9285210437156,1183.0137655105225,1087.8404723653855,1,760.3
id_JPN_209,JPN,1156.9285210437156,1157.271650474735,1087.8404723653855,1,760.3
id_JPN_21,JPN,1156.9285210437156,1142.3961455154615,1087.8404723653855,1,760.3
id_JPN_210,JPN,1156.9285210437156,956.4524539451036,1087.8404723653855,0,760.3
id_JPN_211,JPN,1156.9285210437156,1108.6917223981,1087.8404723653855,1,760.3
id_JPN_212,JPN,1156.9285210437156,1060.6768618255314,1087.8404723653855,0,760.3
id_JPN_213,JPN,1156.9285210437156,1123.222636435214,1087.8404723653855,1,760.3
id_JPN_214,JPN,1156.9285210437156,1163.9612557431965,1087.8404723653855,1,760.3
id_JPN_215,JPN,1156.9285210437156,1165.7610679635118,1087.8404723653855,1,760.3
id_JPN_216,JPN,1156.9285210437156,1113.286414858942,1087.8404723653855,1,760.3
id_JPN_217,JPN,1156.9285210437156,1184.852100552606,1087.8404723653855,1,760.3
id_JPN_218,JPN,1156.9285210437156,1185.1370531406603,1087.8404723653855,1,760.3
id_JPN_219,JPN,1156.9285210437156,1138.771006979242,1087.8404723653855,1,760.3
id_JPN_22,JPN,1156.9285210437156,1123.2761666408956,1087.8404723653855,1,760.3
id_JPN_220,JPN,1156.9285210437156,1262.6254096205732,1087.8404723653855,1,760.3
id_JPN_221,JPN,1156.9285210437156,1187.985316998701,1087.8404723653855,1,760.3
id_JPN_222,JPN,1156.9285210437156,1048.5968616627306,1087.8404723653855,0,760.3
id_JPN_223,JPN,1156.9285210437156,1065.5480219245023,1087.8404723653855,0,760.3
id_JPN_224,JPN,1156.9285210437156,1057.7186553460367,1087.8404723653855,0,760.3
id_JPN_225,JPN,1156.9285210437156,1033.8161087409476,1087.8404723653855,0,760.3
id_JPN_226,JPN,1156.9285210437156,1055.2140894126385,1087.8404723653855,0,760.3
id_JPN_227,JPN,1156.9285210437156,1046.5630517801767,1087.8404723653855,0,760.3
id_JPN_228,JPN,1156.9285210437156,1049.2546352993938,1087.8404723653855,0,760.3
id_JPN_229,JPN,1156.9285210437156,1057.6459649990763,1087.8404723653855,0,760.3
id_JPN_23,JPN,1156.9285210437156,1179.076588156067,1087.8404723653855,1,760.3
id_JPN_230,JPN,1156.9285210437156,1003.955745507178,1087.8404723653855,0,760.3
id_JPN_231,JPN,1156.9285210437156,1072.1506756363003,1087.8404723653855,0,760.3
id_JPN_232,JPN,1156.9285210437156,1159.3041515962327,1087.8404723653855,1,760.3
id_JPN_233,JPN,1156.9285210437156,1121.3894319701649,1087.8404723653855,1,760.3
id_JPN_234,JPN,1156.9285210437156,1242.7625550512505,1087.8404723653855,1,760.3
id_JPN_235,JPN,1156.9285210437156,1037.630114515314,1087.8404723653855,0,760.3
id_JPN_236,JPN,1156.9285210437156,954.2495589843508,1087.8404723653855,0,760.3
id_JPN_237,JPN,1156.9285210437156,1052.8969096619812,1087.8404723653855,0,760.3
id_JPN_238,JPN,1156.9285210437156,1131.2207162405336,1087.8404723653855,1,760.3
id_JPN_239,JPN,1156.9285210437156,1128.8847560785891,1087.8404723653855,1,760.3
id_JPN_24,JPN,1156.9285210437156,1116.2331629302005,1087.8404723653855,1,760.3
id_JPN_240,JPN,1156.9285210437156,1180.8648989831322,1087.8404723653855,1,760.3
id_JPN_241,JPN,1156.9285210437156,1213.3683625006756,1087.8404723653855,1,760.3
id_JPN_242,JPN,1156.9285210437156,904.0063066414136,1087.8404723653855,0,760.3
id_JPN_243,JPN,1156.9285210437156,1037.6083006538377,1087.8404723653855,0,760.3
id_JPN_244,JPN,1156.9285210437156,1107.1578856635904,1087.8404723653855,1,760.3
id_JPN_245,JPN,1156.9285210437156,1046.2018778817555,1087.8404723653855,0,760.3
