iso3,country,income_group,avg_emissions,avg_policies_last_5_years,emission_pct_change,emission_change
JOR,Jordan,Lower middle income,28.0312782244,4.956521739130435,0.7204040786914349,14.076902308800001
JPN,Japan,High income,1261.9186110942173,23.652173913043477,-0.13505362422117373,-176.44274805300006
KAZ,Kazakhstan,Upper middle income,304.8989615562261,5.913043478260869,0.44449134388982725,104.473117221
KEN,Kenya,Lower middle income,136.6224782317391,3.3043478260869565,0.5898632734889042,65.0572832
KGZ,Kyrgyzstan,Lower middle income,6.0948057058943474,2.0869565217391304,11.50946945751469,10.64748683797
KHM,Cambodia,Lower middle income,96.42422370021738,1.434782608695652,-0.054630243155551435,-5.2244830293000035
KIR,Kiribati,Lower middle income,0.0914143507532405,0.5652173913043478,0.8735844018158347,0.0513006610188201
KNA,Saint Kitts And Nevis,High income,-0.003446983337368731,0.2608695652173913,-1.4240882654245675,0.0547238987284999
KOR,Korea,High income,606.7531248021739,18.0,0.4024129611580366,195.36043535899995
KWT,Kuwait,High income,127.76295534265218,3.0,0.9462866227476396,81.6797737412
LAO,Lao People's Democratic Republic,Lower middle income,55.37939712238261,2.0869565217391304,0.2806931460878682,15.41695545999999
LBN,Lebanon,Lower middle income,24.394054219576955,1.6956521739130435,0.8002990025862514,13.06775913565
LBR,Liberia,Low income,-16.91471769983014,0.6086956521739131,-0.17275389405524552,3.1727106965809213
LBY,Libya,Upper middle income,92.50335857595651,1.2173913043478262,0.14419654525927475,13.171286463000001
LCA,Saint Lucia,Upper middle income,0.33085093384082825,0.4782608695652174,0.39694225336642464,0.1282020178087001
LKA,Sri Lanka,Lower middle income,39.74902322755217,1.0869565217391304,0.32109897002475185,10.475035023399997
LSO,Lesotho,Lower middle income,10.371011869405825,2.608695652173913,0.02329208054823144,0.23929773762362672
LTU,Lithuania,High income,14.95557597385652,6.434782608695652,0.7166118675416904,6.368903383300001
LUX,Luxembourg,High income,10.647550465347825,11.565217391304348,-0.11557127569201416,-1.0622677699999983
LVA,Latvia,High income,6.470456759513044,5.0,-4.879559944779139,13.016513326999998
MAC,"China, Macao Special Administrative Region",High income,2.2521627498815855,0.5217391304347826,0.38860189068649736,0.6755938464999998
MAR,Morocco,Lower middle income,86.14977949552174,6.695652173913044,0.9536355859927402,55.16922672599999
MDA,Republic of Moldova,Upper middle income,13.256782754029523,5.869565217391305,0.34321480903641116,3.786090667899998
MDG,Madagascar,Low income,65.10839723732613,1.4782608695652173,0.11788640589635953,7.310342761958992
MDV,Maldives,Upper middle income,1.5494014517995878,1.3478260869565217,2.031407291585956,1.6245406408949001
MEX,Mexico,Upper middle income,567.1781210152609,28.652173913043477,0.4971519847619076,212.09421195500005
MKD,Former Yugoslav Republic Of Macedonia,Upper middle income,9.716925827564783,0.6956521739130435,-0.23115578703657283,-2.3101626390000005
MLI,Mali,Low income,-184.30843458735276,1.391304347826087,-0.5631823152871509,136.21522227516783
MLT,Malta,High income,2.5974353440616955,7.521739130434782,-0.07479619715870134,-0.175904198954
MMR,Myanmar,Lower middle income,177.59954898791304,1.434782608695652,0.5227819130784956,74.94118031900001
MNG,Mongolia,Lower middle income,17.70367670388261,1.6956521739130435,156.47057857105167,37.9137014443
MOZ,Mozambique,Low income,64.13415530768695,1.608695652173913,0.5215886901823099,27.090350095000005
MRT,Mauritania,Lower middle income,11.630540039636603,1.391304347826087,0.862423889189646,7.3071356219073795
MUS,Mauritius,Upper middle income,4.7362820154347824,2.391304347826087,0.9731777838810136,3.0232224553999996
MWI,Malawi,Low income,12.90730431526087,2.0434782608695654,1.515434644111699,12.236064477
MYS,Malaysia,Upper middle income,53.84736773395652,6.739130434782608,38.63084261704883,109.39955618700004
NAM,Namibia,Upper middle income,-96.2883409806639,3.260869565217391,0.13333844317386467,-12.203490600052007
NCL,New Caledonia,High income,4.256937890954395,0.43478260869565216,1.1345079281238986,3.0231691391220004
NER,Niger,Low income,-6.317462053482611,0.9565217391304348,-1.507996502690962,25.734490022400003
NGA,Nigeria,Lower middle income,686.1203588285653,5.043478260869565,0.07879052454550076,52.81142273299997
NIC,Nicaragua,Lower middle income,31.643007767130435,3.782608695652174,0.10395420690589922,3.1403891310000027
NLD,Netherlands,High income,215.33716815643606,20.434782608695652,-0.27063361293859894,-63.556475038
NOR,Norway,High income,52.8201823013913,21.91304347826087,-0.077537644114067,-4.131839604
NPL,Nepal,Lower middle income,28.085799341588213,1.3043478260869565,1.0437835324692644,20.6698409196294
