year,pop_total,electricity_from_renewables_pct,renewable_energy_consumption_pct,forest_area_pct,gdp_2015_usd,imports_2015_usd,industry_value_added_2015_usd,manufacturing_value_added_2015_usd,exports_2015_usd,iso_alpha_3
2003,5210963.0,16.3596681096681,51.5,41.8478394548778,7790180833.57528,3412447471.35781,1862605072.29907,960544236.920742,1963273623.52388,NIC
2002,5149909.0,13.0446564885496,54.7,42.8542961608775,7598639429.85538,3297401337.65011,1826089839.54062,937655109.584803,1798253888.55202,NIC
2001,5087825.0,10.0674603174603,56.7,43.8607528668772,7541779025.83162,3301935098.65153,1862097253.97292,918613118.091752,1863700029.19502,NIC
2000,5022633.0,8.71118672905147,58.4,44.8672095728768,7324900195.21078,3279069052.77417,1767689709.59785,867813049.573324,1736099555.15487,NIC
2022,25311973.0,,,0.83276229572906,14346774735.5026,3829490247.16355,2777012918.64492,974690952.410756,1579546757.71656,NER
2021,24502140.0,6.38365650969529,79.6,0.842567300860504,12821067681.4111,3578166611.14172,2801986927.87029,1011478814.64957,1382877755.06769,NER
2020,23717613.0,6.84843982169391,81.9,0.852372305991948,12646096746.8881,3362158987.76076,2691746366.79804,966554272.57801,1327862538.33563,NER
2019,22947757.0,6.87910447761194,80.7,0.862177311123392,12212475570.6373,3273870698.34332,2641263178.45626,931688468.721741,1380640243.01495,NER
2018,22188069.0,8.59888059701493,82.0,0.871982316254835,11527744540.163,3081451967.65034,2422675106.98004,865887545.581008,1365515983.41344,NER
2017,21435446.0,2.63345195729537,82.0,0.881787321386279,10752347793.0235,2817682437.67058,2285481050.81642,835237278.576311,1426212448.01553,NER
2016,20685753.0,1.89033189033189,80.2,0.891592326517723,10239808436.9433,2525562340.95354,2139581367.34974,778992592.26092,1243478918.78148,NER
2015,19939498.0,2.14689265536723,78.9,0.901397331649167,9683867926.44282,2949615181.66713,2182581982.67247,738468134.979291,1381730102.3702,NER
2014,19215909.0,2.21218961625282,78.1,0.911202336780611,9276388744.59484,2747281042.29764,2191196376.15831,707934235.428474,1449995843.11337,NER
2013,18519898.0,1.8510158013544,78.7,0.921007341912055,8698614858.59842,2616717646.88256,2139623563.23335,688102694.815081,1457319598.23298,NER
2012,17836769.0,1.62907268170426,72.7,0.930812347043499,8259606009.352,2475766946.68176,1995610117.47775,573135956.623105,1337789007.68638,NER
2011,17176283.0,1.4327485380117,77.2,0.940617352174943,7471447186.58798,2587333161.8347,1567469814.50966,490026960.359638,1124806323.43645,NER
2010,16548835.0,1.16040955631399,80.7,0.950422357306387,7299346341.92573,2508811222.81177,1547627708.81438,493893438.319619,1135080984.47673,NER
2009,15943675.0,0.778210116731518,83.2,0.960227362437831,6722664934.31258,2249986481.32297,1403022193.92147,471772999.491631,948036115.313807,NER
2008,15361915.0,0.87719298245614,86.1,0.970032367569274,6593265446.85522,1701673591.37742,1210259015.883,450676413.036739,803513221.925457,NER
2007,14803610.0,0.803571428571428,86.2,0.979837372700718,6120095511.70958,1277346719.71934,1183743051.03821,433385928.537564,697956520.136379,NER
2006,14268581.0,0.825688073394495,87.4,0.989642377832162,5933618261.55882,1217553974.04197,1205250750.80635,431423775.041745,679607953.224227,NER
2005,13756192.0,0.698689956331878,87.5,0.999447382963606,5601396628.31908,1227057122.60788,1157895527.80466,417461226.384597,643963892.101472,NER
2004,13265836.0,0.634146341463415,87.0,1.00925238809505,5218763717.35798,1150096069.81762,1175183518.61164,423599886.04285,604215620.916215,NER
2003,12796984.0,0.56701030927835,87.0,1.01905739322649,5199846593.3602,1078764118.26344,1162689060.3237,405835380.814809,578629937.055136,NER
2002,12349144.0,0.523560209424084,87.7,1.02886239835794,5089376067.96136,1078744391.48868,1122773750.15675,399373402.790822,572463652.943484,NER
2001,11920647.0,0.555555555555556,87.7,1.03866740348938,4850791323.99035,1070547284.73928,1087321346.6084,390122431.237821,621922353.945033,NER
2000,11509630.0,0.388349514563107,87.6,1.04847240862083,4522117708.50312,976275926.630938,1047403861.75512,379966352.932347,609359771.666764,NER
2022,223150896.0,,,23.3871888621716,535335926240.996,,86212666388.892,47012419690.6561,,NGA
2021,218529286.0,3.51431929080551,80.3,23.5664876972232,518476715283.896,,90392187062.3962,45889338256.73,,NGA
2020,213996181.0,0.786388069139966,81.8,23.7457865322749,500232309808.216,,90816956363.2981,44402577869.1631,,NGA
2019,209485641.0,0.217242136465938,80.1,23.9250853673265,509371727735.743,,96456722911.0345,45660495430.3778,,NGA
2018,204938755.0,0.176844402018274,80.8,24.1043842023782,498365674277.734,,94276935509.0562,45312975462.8112,,NGA
2017,200254579.0,0.164605762915155,81.6,24.2836830374299,488964081500.901,,92545176641.93,44383555677.5569,,NGA
2016,195443700.0,0.0885942961930049,81.1,24.4629795667402,485055087455.82,,90600940626.4261,44477671318.9008,,NGA
2015,190671878.0,0.0827946240142175,81.3,24.6422807075332,493026682800.63,,99398039146.1414,46484711768.2576,,NGA
2014,185896915.0,2.00771571133017,79.9,24.8215861304171,480286163931.15,,101678505845.379,47173512265.3336,,NGA
2013,181049443.0,2.40185571248202,81.4,25.0008915533011,451780110046.797,,95242799553.4527,41119215813.9453,,NGA
2012,176200625.0,-1.07741831643329,83.9,25.180196976185,423525315758.054,,93226419333.3786,33760422762.8134,,NGA
2011,171379598.0,-2.21727657801542,84.1,25.3595023990689,406337011591.35,,91016806100.7582,29755546543.5517,,NGA
2010,166642886.0,3.02174306939663,86.0,25.5388078219529,385856064172.784,,83970747594.1031,25256074168.1513,,NGA
2009,162049464.0,13.7552941176471,88.1,25.7181132448368,357255424171.356,,79795495155.9153,24639619053.9994,,NGA
2008,157595014.0,7.68157463578798,85.7,25.8974186677207,330679000570.778,,77845024420.0015,23781567563.662,,NGA
2007,153267261.0,6.59765113429935,87.1,26.0767240906047,309727563830.14,,79469487878.3478,23089528013.1865,,NGA
2006,149077334.0,18.3954060010171,85.8,26.2560295134886,290575362867.503,,81031536495.327,23067618906.5551,,NGA
2005,145017253.0,22.2032418431717,83.9,26.4353349363725,273974099482.934,,82654843038.7609,22881632058.5613,,NGA
2004,141057045.0,-0.0346144470626473,84.0,26.6146403592565,257401275803.762,,81276844125.0035,22366539477.8949,,NGA
2003,137202644.0,1.54746126108566,82.9,26.7939457821404,235606371240.501,,79870071976.0988,22606710801.6838,,NGA
2002,133471989.0,-8.37695616363137,84.5,26.9732512050243,219480696548.006,,71210890911.0119,25346129757.643,,NGA
2001,129862595.0,1.87999494183106,84.5,27.1525566279083,190308075297.965,,70305318813.6045,21528777638.7694,,NGA
2000,126382494.0,5.47333554157006,86.0,27.3318620507922,179675448843.373,,66579577087.7444,21035791493.069,,NGA
2022,1831712.0,,,39.7101506740682,11449348867.2054,10834351375.5649,2271701312.5781,1255664420.06605,8015554987.11407,MKD
2021,1837114.0,4.73368287832218,19.5,39.7101506740682,11141955229.994,9537260869.81742,2309246317.37078,1303552225.37711,7247315421.99457,MKD
2020,1856124.0,5.18477651019263,20.0,39.7101506740682,10661068595.4055,8307975822.74059,2302349490.85893,1228681487.54715,6341803722.8676,MKD
2019,1876262.0,3.08076333276538,17.0,39.7101506740682,11185494933.6944,9320274745.13446,2451041107.84436,1290459150.58405,7120175384.6377,MKD
