iso_alpha_3,year,pop_total,pop_growth,electricity_from_renewables_pct,renewable_energy_consumption_pct,forest_area_pct,gdp_2021_ppp_intl_usd,gdp_growth_pct,gdp_per_capita_2021_ppp_intl_usd,gdp_per_capita_growth_pct,industry_pct_of_gdp,manufacturing_pct_of_gdp,exports_pct_of_gdp,cpia_public_sector_management_quality_score,agricultural_land_pct,arable_land_pct,cereal_yield_kg_per_hectare,crop_production_index,food_production_index,fertilizer_consumption_kg_per_ha_arable_land,renewable_energy_output_pct,energy_use_kg_of_oil_equivalent_per_capita,population_in_urban_agglomerations_over_1m_pct,electricity_consumption_kwh_per_capita,fossil_fuel_energy_consumption_pct
MUS,2007,1239630.0,0.455526400702738,18.9931034482759,15.7,19.4344827586207,20955045819.7314,5.72701615981669,16904.2745171796,5.24649696534381,22.1985593969066,15.2289571252754,54.7868995397323,,45.320197044335,39.9014778325123,9453.7,104.87,99.72,282.222222222222,22.4008113590264,1007.59469875165,,1816.67110347442,80.3241122707703
MUS,2008,1244121.0,0.361630847401639,19.0383261634728,12.7,19.2600985221675,22083886288.7145,5.38696254207251,17750.5936228988,5.00653905530841,23.0209186435502,15.1028580946961,50.1356866228953,,44.8275862068966,39.4088669950739,7541.0,110.04,103.86,228.775,23.2620258114978,1026.70709293057,,1881.64977522283,79.4250364846658
MUS,2009,1247429.0,0.265537672832765,18.895615056267,12.8,19.0857142857143,22815984123.3157,3.31507699790781,18290.4070077862,3.04110046320396,23.007713818678,14.6907042405739,46.6861651108439,,44.8275862068966,39.4088669950739,8000.0,114.71,107.8,227.9625,23.6298020954598,999.514481044517,,1907.12256970136,81.0446002911749
MUS,2010,1250400.0,0.237886692890185,17.739680178505,12.8,18.9113300492611,23814686115.8217,4.37720322344293,19045.6542832867,4.12919884822152,22.1595330116331,13.9673838212738,50.28130093276,,44.8275862068966,39.4088669950739,6833.3,109.31,106.13,163.2,21.4957233172183,1050.75767175161,,1995.36148432502,81.865719929465
MUS,2011,1252404.0,0.160140420765724,18.0251916757941,12.0,19.21482223335,24785739007.5174,4.07753806610333,19790.5300586052,3.91100124069837,21.3051130600799,13.6769882465247,51.4751506473361,,44.5668502754131,39.0585878818227,3901.8,107.85,105.56,243.230769230769,20.069733479372,1053.55801429009,,2032.09188089466,82.4359426688858
MUS,2012,1255882.0,0.277321025514609,17.6436740528949,11.4,19.2058087130696,25652277780.788,3.49611836470866,20425.707017688,3.20949947880025,20.6501837940607,13.4590126588687,52.7836292506771,,43.565348022033,38.0570856284427,3389.6,102.77,102.45,274.842105263158,20.2884203002144,1066.25424955695,,2075.831965105,83.2722520645664
MUS,2013,1258927.0,0.242165626741126,17.332756232687,11.4,19.1967951927892,26514298488.0562,3.36040609974133,21061.0293432869,3.11040555437714,20.0954005013634,13.565364536265,64.2358136939797,,43.064596895343,37.5563345017526,3219.1,99.93,100.81,248.146666666667,20.6222299168975,1085.5501957804,,2147.86083704615,84.4709473801936
MUS,2014,1261208.0,0.181022097854624,17.2533197139939,10.6,19.1877816725088,27528992689.2035,3.82696982009337,21827.4802326052,3.63919007388208,19.4849175221344,13.3643021284053,64.816272933487,,43.064596895343,37.5563345017526,3765.1,103.38,102.85,313.293333333333,20.3517194416071,1104.47535515255,,2184.41367324026,85.0556234220937
MUS,2015,1262879.0,0.132404330287967,18.6923590256924,11.5,19.1787681522283,28544965829.4125,3.69055690369433,22603.0885218714,3.55335696562737,18.9486991254014,12.8429263990881,64.5652688880706,,43.064596895343,37.5563345017526,2695.9,99.95,99.92,183.826666666667,22.7630964297631,1136.14919149846,,2232.99302625192,83.3412463635896
MUS,2016,1263747.0,0.0687082325715694,18.6150558842867,10.3,19.1737606409614,29647506075.3719,3.8624682634,23460.0011516323,3.79113070734437,18.3463010991725,12.2243247057993,61.0475220099155,,43.064596895343,37.5563345017526,3455.0,96.67,97.23,273.253333333333,21.9023668639053,1135.89802652029,,2271.02418442932,0.0
