Code,Income group,Year,emissions_change,avg_change_prev_3_years,avg_change_prev_5_years,prev_year_change
CPV,Lower middle income,2005,0.22376911376105008,0.018284174366588357,0.02114649591853575,0.042346573202650006
CPV,Lower middle income,2006,0.057870381966519946,0.08025417789631668,0.06167101948703861,0.22376911376105008
CPV,Lower middle income,2007,0.08604459459505998,0.10799535631007334,0.06729840376546702,0.057870381966519946
CPV,Lower middle income,2008,-0.022072382700000004,0.12256136344087666,0.07693550205010599,0.08604459459505998
CPV,Lower middle income,2009,-0.023186835299999986,0.040614197953859975,0.077591656165056,-0.022072382700000004
CPV,Lower middle income,2010,0.061374291499999956,0.013595125531686661,0.064484974464526,-0.023186835299999986
CPV,Lower middle income,2011,0.11447013840000009,0.005371691166666655,0.032006010012315976,0.061374291499999956
CPV,Lower middle income,2012,-0.11582915400000005,0.050885864866666686,0.043325961299012006,0.11447013840000009
CPV,Lower middle income,2013,-0.019623906800000035,0.020005091966666666,0.0029512115800000016,-0.11582915400000005
CPV,Lower middle income,2014,0.05605143450000005,-0.0069943074666666645,0.0034409067599999953,-0.019623906800000035
CPV,Lower middle income,2015,0.013670202699999967,-0.026467208766666677,0.019288560720000004,0.05605143450000005
CPV,Lower middle income,2016,0.018259452200000026,0.016699243466666663,0.009747742960000005,0.013670202699999967
CPV,Lower middle income,2017,0.023250502200000023,0.029327029800000015,-0.009494394280000007,0.018259452200000026
CPV,Lower middle income,2018,0.01575237279999997,0.018393385700000004,0.018321536960000006,0.023250502200000023
CPV,Lower middle income,2019,0.03316301060000004,0.019087442400000005,0.025396792880000008,0.01575237279999997
CPV,Lower middle income,2020,0.021482837199999993,0.02405529520000001,0.020819108100000004,0.03316301060000004
CPV,Lower middle income,2021,0.075726662,0.023466073533333336,0.02238163500000001,0.021482837199999993
CPV,Lower middle income,2022,0.04897248900000006,0.043457503266666676,0.03387507696000001,0.075726662
CRI,Upper middle income,2001,-13.8045924513941,,,
CRI,Upper middle income,2002,0.03637249300000178,-13.8045924513941,-13.8045924513941,-13.8045924513941
CRI,Upper middle income,2003,-0.5297505539999996,-6.884109979197049,-6.884109979197049,0.03637249300000178
CRI,Upper middle income,2004,1.2771929419999992,-4.765990170798033,-4.765990170798033,-0.5297505539999996
CRI,Upper middle income,2005,-0.017388325999998955,0.26127162700000045,-3.2551943925985247,1.2771929419999992
CRI,Upper middle income,2006,0.43662752099999835,0.24335135400000021,-2.6076331792788197,-0.017388325999998955
CRI,Upper middle income,2007,2.1541642980000013,0.5654773789999995,0.24061081520000016,0.43662752099999835
CRI,Upper middle income,2008,-3.8222786930000012,0.8578011643333335,0.6641691762,2.1541642980000013
CRI,Upper middle income,2009,-0.1756066369999978,-0.41049562466666717,0.005663548399999741,-3.8222786930000012
