iso_alpha_3,year,policy_flow_jur_stock_x_gov
DOM,1998,-5.733271550747688
DOM,2000,-2.220807345468765
DOM,2002,1.808727140205271
DOM,2003,-1.3129402879495922
DOM,2004,1.9911434745695085
DOM,2005,2.0479710427165196
DOM,2006,6.615052247291063
DOM,2007,5.72778594230977
DOM,2008,5.3947306217673034
DOM,2009,5.63102993832046
DOM,2010,5.7565773358713965
DOM,2011,2.9921068916123077
DOM,2012,7.868781453105002
DOM,2013,4.007699835222952
DOM,2014,8.872290467420866
DOM,2015,4.7747037212085885
DOM,2016,4.690533743323548
DOM,2017,4.118206583116974
DOM,2018,3.521601842209867
DOM,2019,7.858857710148121
DOM,2020,15.115842009058603
DOM,2021,19.497146520006748
DOM,2022,24.262417861924682
DOM,2023,30.033550650854036
DOM,2024,39.34153880145485
DZA,1996,-8.6369590723231
DZA,1998,-13.569402389486934
DZA,2000,-16.967430883475277
DZA,2002,-17.30032682606072
DZA,2003,-22.228602440431008
DZA,2004,-19.532526074539142
DZA,2005,-21.723940557451975
DZA,2006,-25.287773299350743
DZA,2007,-31.01986504553309
DZA,2008,-38.81218092202808
DZA,2009,-51.42021256364037
DZA,2010,-61.7700112855975
DZA,2011,-71.38318635167134
DZA,2012,-75.89457092580126
DZA,2013,-84.13955878970498
DZA,2014,-81.66571077631964
DZA,2015,-91.27370020896024
DZA,2016,-108.58404780136226
DZA,2017,-123.25603321489506
DZA,2018,-155.7171199726177
DZA,2019,-204.56249301504104
DZA,2020,-226.60257561326446
DZA,2021,-242.27892028849828
DZA,2022,-272.8262320535273
DZA,2023,-288.441333236857
DZA,2024,-310.41604717505834
ECU,1996,-3.947810113062546
ECU,1998,-2.0256177638129884
ECU,2000,-16.683902889668868
ECU,2002,-5.283951875746033
ECU,2003,-2.997483568578817
ECU,2004,-5.974521606873863
ECU,2005,-8.283339434756314
ECU,2006,-6.168846289827693
ECU,2007,1.9851303468146857
ECU,2008,-7.7973909326991055
ECU,2009,-7.296655157484067
ECU,2010,-12.46873286166508
ECU,2011,-14.796509277440412
ECU,2012,-37.607772432851625
ECU,2013,-44.215421593905326
ECU,2014,-41.462339485335896
ECU,2015,-61.671591827930754
ECU,2016,-60.59422463501566
ECU,2017,-56.92231247662626
ECU,2018,-22.25319317531542
ECU,2019,-19.247374066104694
ECU,2020,-26.229284205321857
ECU,2021,-1.474544546257174
ECU,2022,-6.803209866950908
ECU,2023,-20.806772073591222
ECU,2024,-14.515629536304244
EGY,1996,-14.004391594539898
EGY,1998,-21.564649985490533
EGY,2000,-30.74272618434445
EGY,2002,-34.650400279679744
EGY,2003,-38.90959055973656
EGY,2004,-41.98056676706203
EGY,2005,-44.6908106548199
EGY,2006,-47.85247343006512
EGY,2007,-53.228408213295964
EGY,2008,-62.47364393675033
EGY,2009,-64.7032854132059
EGY,2010,-77.81186916999555
EGY,2011,-79.14353080112748
EGY,2012,-65.44817471880093
EGY,2013,-103.32187990193947
EGY,2014,-128.6959792277106
EGY,2015,-155.70445327286936
EGY,2016,-186.6275830254571
EGY,2017,-214.2972826521738
EGY,2018,-282.27235445338505
EGY,2019,-330.40712154850235
EGY,2020,-374.3278132012397
EGY,2021,-437.3397245696636
EGY,2022,-476.75277972346095
EGY,2023,-517.2258252452642
EGY,2024,-567.3098693089876
ERI,1996,-9.39411104458546
ERI,1998,-9.326172120708662
ERI,2000,-13.035367093366343
ERI,2002,-16.286497998485178
ERI,2003,-16.96195714089437
ERI,2004,-16.17908294041926
ERI,2005,-18.18717906921667
ERI,2006,-17.787063456772305
ERI,2007,-18.968380455298696
ERI,2008,-20.613232755645807
ERI,2009,-21.290115470945857
ERI,2010,-21.992749516316113
ERI,2011,-22.607713216816588
ERI,2012,-24.069965531541136
ERI,2013,-24.447457155150154
ERI,2014,-24.76164870557641
ERI,2015,-25.243841450331775
ERI,2016,-25.10055445232753
ERI,2017,-25.70556197580046
ERI,2018,-24.9225001009242
ERI,2019,-25.497925084078584
ERI,2020,-25.787611537528043
ERI,2021,-28.56029177045537
ERI,2022,-30.808280170319403
ERI,2023,-34.58526367728678
ERI,2024,-38.86729926658583
ESP,1996,84.94259573069878
ESP,1998,108.57767187625994
ESP,2000,139.82220079617514
ESP,2002,175.97285159261244
ESP,2003,177.41785918056593
ESP,2004,200.8337194747385
ESP,2005,213.82471175875716
ESP,2006,238.1552529130536
ESP,2007,279.1729680598909
ESP,2008,339.42703507788104
ESP,2009,374.4665682872261
ESP,2010,408.5670412456157
ESP,2011,430.96124980086523
ESP,2012,503.8167906084048
ESP,2013,505.3099350346737
ESP,2014,605.3358833944683
ESP,2015,726.6405397372445
ESP,2016,823.5126845702373
ESP,2017,918.3614838796356
ESP,2018,1015.6067709563366
ESP,2019,1166.6892004242552
ESP,2020,1385.4887549878931
ESP,2021,1558.7129324420857
ESP,2022,1784.082935840371
ESP,2023,2012.5629082002702
ESP,2024,2230.524368547932
EST,1998,1.1381400250532423
EST,2000,3.4143525123753125
EST,2002,8.503133589248863
EST,2003,12.274811455183045
EST,2004,16.680850296836677
EST,2005,20.528415227694573
EST,2006,23.686607291502458
EST,2007,30.888904305954885
EST,2008,37.86330253974179
EST,2009,48.55213964383762
EST,2010,62.799312275253165
EST,2011,78.77304943026314
EST,2012,86.67041005469626
EST,2013,97.84012066735342
EST,2014,120.26139504276858
EST,2015,143.74010272434256
EST,2016,168.45347113496018
EST,2017,197.76246652721878
EST,2018,219.64560019593614
EST,2019,279.30023996441855
EST,2020,319.59352898123933
EST,2021,381.82764309832424
EST,2022,458.7865427111698
EST,2023,531.6086248268659
EST,2024,625.5448317675459
ETH,1996,-7.545948993583757
ETH,1998,-8.013933890376817
ETH,2000,-9.9036105000482
ETH,2002,-15.247436104720578
ETH,2003,-19.690241333542712
ETH,2004,-20.897713497860625
ETH,2005,-23.421716306343747
ETH,2006,-25.130361022842518
ETH,2007,-29.286019608583953
ETH,2008,-36.478014265727076
ETH,2009,-41.35776150888965
ETH,2010,-45.99036228499073
ETH,2011,-53.06565000457899
ETH,2012,-58.65579121447428
ETH,2013,-67.35992435943287
ETH,2014,-71.46473056432227
ETH,2015,-77.48935963782786
ETH,2016,-85.64751221177772
ETH,2017,-94.58042329953429
ETH,2018,-84.7488497485292
ETH,2019,-77.39280395393807
ETH,2020,-84.70594313804774
ETH,2021,-95.44117250069806
ETH,2022,-105.51016422514188
ETH,2023,-120.63908158756267
ETH,2024,-135.43873217055926
FIN,1996,53.016886548704825
FIN,1998,86.07616242825571
FIN,2000,140.4527496330925
FIN,2002,202.75584730655532
FIN,2003,229.42686097330437
FIN,2004,261.6682476490696
FIN,2005,288.96978739297396
FIN,2006,324.163589900113
FIN,2007,358.1710140547768
FIN,2008,406.0172182827458
FIN,2009,448.3786055568116
FIN,2010,502.5838809604451
FIN,2011,586.7963268543847
FIN,2012,696.3158071366477
FIN,2013,742.1645578942503
FIN,2014,806.7926977506604
FIN,2015,923.6855021786329
FIN,2016,997.0730608240482
FIN,2017,1076.1939822803995
FIN,2018,1211.7538008185215
FIN,2019,1303.0240920906717
FIN,2020,1490.878295987617
FIN,2021,1651.4441842347135
FIN,2022,1814.3370928483694
FIN,2023,1917.7960237156935
FIN,2024,2096.673765771794
FJI,1996,0.5136436356525936
FJI,1998,1.1410175983657873
FJI,2000,-2.4741961701210378
FJI,2002,1.1694605490963064
FJI,2003,2.5947789117949323
FJI,2004,2.79158389758447
FJI,2005,4.292633009984202
FJI,2006,-2.3218359265808797
FJI,2007,-8.993016438801927
FJI,2008,-11.599182934657154
FJI,2009,-16.818714695856006
FJI,2010,-21.959880283319777
FJI,2011,-22.61320152871837
FJI,2012,-21.974773103442683
FJI,2013,-20.824450587727448
FJI,2014,-7.250711169996092
FJI,2015,-6.4467004231895935
FJI,2016,-4.6423826659713825
FJI,2017,-6.54636293782903
FJI,2018,2.1332373483490388
FJI,2019,3.1326308094497493
FJI,2020,7.10872734664256
FJI,2021,3.7112577720440973
FJI,2022,4.759539293453709
FJI,2023,14.092704751332647
FJI,2024,24.37308738456074
FRA,1996,138.71585115343098
FRA,1998,161.16460549832436
FRA,2000,241.84109306971618
FRA,2002,354.6884686109364
FRA,2003,418.2774050878164
FRA,2004,496.7918638661433
FRA,2005,667.7030997394587
FRA,2006,689.6748200465619
FRA,2007,811.6094391169731
FRA,2008,910.871070803691
FRA,2009,1017.2627118156066
FRA,2010,1089.2064697235714
FRA,2011,1110.4241756333067
FRA,2012,1305.9371681051346
FRA,2013,1340.51691351002
FRA,2014,1439.1563281706478
FRA,2015,1587.394915682528
FRA,2016,1661.9852611148058
FRA,2017,1766.31669076414
FRA,2018,1886.469870536649
FRA,2019,1982.106787305301
FRA,2020,2243.8862299910425
FRA,2021,2404.736029682987
FRA,2022,2653.5196834841563
FRA,2023,2876.1124621100457
FRA,2024,3053.782671359201
FSM,1996,7.942164975299278
FSM,1998,7.2753317436971034
FSM,2000,8.079019480636461
FSM,2002,8.579828059511504
FSM,2003,8.338535101933468
FSM,2004,7.259024509566822
FSM,2005,9.319421380067496
FSM,2006,9.627129070129197
FSM,2007,9.790626123835278
FSM,2008,10.044884419705069
FSM,2009,10.311327538627697
FSM,2010,10.56319090895278
FSM,2011,8.417524689693794
FSM,2012,11.50334952458568
FSM,2013,13.538501795610394
FSM,2014,15.727124582966754
FSM,2015,17.82127625566722
FSM,2016,19.685772815586446
FSM,2017,21.729047909948747
FSM,2018,24.853599707843614
FSM,2019,31.137891598575287
FSM,2020,21.843420032110302
FSM,2021,24.726147042950576
FSM,2022,26.980831649762834
FSM,2023,29.226280298829412
FSM,2024,43.38561692751331
GAB,2000,-0.8730142906038744
GAB,2002,-2.3165180430166816
GAB,2003,-3.8299923972195398
GAB,2004,-5.260517068346154
GAB,2005,-5.972580291128035
GAB,2006,-6.63197877387759
GAB,2007,-6.758416589542174
GAB,2008,-6.860817168000398
GAB,2009,-8.834841199557449
GAB,2010,-8.701282707123033
GAB,2011,-10.771847071357739
GAB,2012,-11.441826907244389
GAB,2013,-13.653061092443089
GAB,2014,-16.288108536905796
GAB,2015,-19.026960799640126
GAB,2016,-22.596847421924153
GAB,2017,-27.19729406799236
GAB,2018,-28.07475333453689
