iso_alpha_3,year,pop_growth,food_production_index,pop_total,exports_pct_of_gdp,renewable_energy_output_pct,energy_use_kg_of_oil_equivalent_per_capita,population_in_urban_agglomerations_over_1m_pct,gdp_per_capita_growth_pct,industry_pct_of_gdp,fossil_fuel_energy_consumption_pct,cereal_yield_kg_per_hectare,electricity_consumption_kwh_per_capita,gdp_2021_ppp_intl_usd,gdp_per_capita_2021_ppp_intl_usd,fertilizer_consumption_kg_per_ha_arable_land,crop_production_index,agricultural_land_pct,arable_land_pct,electricity_from_renewables_pct,renewable_energy_consumption_pct,forest_area_pct,gdp_growth_pct,manufacturing_pct_of_gdp
THA,1994,1.47432944245539,66.56,58260854.0,38.2421139088502,6.34334124787502,979.262431000536,11.8892541465321,6.41647263711154,36.9951939367161,74.5714781458039,2409.4,1118.00626884048,653397613421.481,11215.0366594606,79.6346176367256,58.95,41.7663293468261,33.4279394781656,0.0014049482276578,23.8,37.6124018869032,7.99702466720433,25.901482479419
THA,1995,1.42705987153545,67.76,59098232.0,41.532345065243,8.74217998826218,1052.28021147702,11.9678977875345,6.58833087971311,37.2780202266021,75.6598662270317,2507.4,1255.5028718964,706455560096.202,11953.920382867,88.3352872215709,60.57,41.9483646186067,33.3927068449177,0.360875591573742,22.6,37.5413494098534,8.12031534625378,26.2081119799014
THA,1996,1.38103987322343,69.99,59920064.0,39.018420197111,9.12936043275973,1160.58015021158,12.0687838384151,4.20287810846418,37.0812856626692,77.4991033045207,2525.7,1384.8950495113,746384036022.706,12456.3290857417,88.2345564328843,63.12,42.1303998903874,33.713715281176,0.959462166915251,21.0,37.4702969328035,5.65194446499471,25.6659977872653
THA,1997,1.33372170098054,70.9,60724584.0,48.2370587073887,8.09323579259005,1166.79566594222,12.1929184397542,-4.04196098576827,36.5645997821799,78.4782544408665,2456.4,1412.9532777038,725831790659.776,11952.8491238372,85.0318654188437,64.34,42.312435162168,34.0914874043336,0.370068435844078,21.1,37.3992444557537,-2.75357515314082,26.4681730077214
THA,1998,1.30564502997303,68.12,61522630.0,57.9373028444006,6.10536134677742,1079.80595351035,12.3413254602412,-8.8321682116602,36.1117273377541,78.2107376943076,2522.6,1360.45874501789,670421535643.795,10897.1533831339,93.0695320939223,61.81,42.4925130654348,34.4281547887021,0.35646071158886,21.5,37.3281919787038,-7.63403528600102,27.1478594413378
THA,1999,1.25409899110086,70.72,62299043.0,56.4385428614735,4.88899254767379,1138.84929761085,12.5190430292806,3.26905660525905,36.3788997763176,78.3164958445394,2537.4,1358.33547234425,701075271483.452,11253.3874955905,100.075381733553,65.91,42.6745483372154,34.4829611070876,0.96402669954131,21.1,37.257139501654,4.57230775115542,28.174948317538
THA,2000,1.13127017975852,77.92,63007815.0,64.840250738685,7.13108348875251,1153.04552225626,12.752102259061,3.28023479514871,36.6694083813627,78.3472723528933,2719.0,1446.80465431153,732309906787.877,11622.5250278537,88.3103818953324,74.25,42.8565836089961,34.5964884808863,0.852495910478552,21.8,37.1860870246041,4.45524704335014,28.375445282081
THA,2001,1.01584846841136,80.79,63651141.0,63.250689756653,6.94952157781683,1174.20279195013,13.0574061508183,2.39873161764822,36.3210034946673,80.8128837648871,2952.6,1502.1097579382,757532483500.235,11901.3182104659,94.9414815650017,78.37,43.0386188807767,34.7198026972538,0.795450107400898,19.9,37.3965041398344,3.44424900968372,27.8267674786216
THA,2002,0.962026884907362,81.65,64266437.0,60.6457526009701,7.79250181171053,1286.14403684353,13.3818885898404,5.13275009732257,36.8944314471526,81.5363710367759,2998.3,1612.59912386305,804113429017.035,12512.1831324963,100.000843597098,78.55,43.2206541525573,34.8039695433459,0.939190738719235,19.9,37.6069212550647,6.14903605210036,28.5150317752876
THA,2003,0.931947504633534,86.15,64868166.0,61.522551633189,7.52554644691964,1379.29175743715,13.7228529013754,6.19493623168337,37.9181748920386,81.7005470969567,2998.8,1705.21238414541,861923099864.461,13287.3048987459,126.544219977553,83.18,43.4026894243379,34.880306915383,1.28617833360403,20.2,37.817338370295,7.18924330340971,29.5805029456399
THA,2004,0.896077275303913,83.0,65452047.0,65.9718573391185,6.39453737065229,1477.38480877104,14.082786440583,5.34116205951062,37.9023024950671,81.7155499081384,2961.0,1814.48870499039,916132392623.264,13997.0013867292,111.829667262171,83.03,43.5847246961185,35.0603848186498,1.5904777812244,19.9,38.0277554855253,6.28934214285795,29.4189680545022
THA,2005,0.860087894461849,82.21,66017420.0,68.402716900887,6.17551835518204,1508.58026062719,14.4607953476522,3.29537578511341,38.5052107116361,81.3309844053647,3046.8,1897.36284756357,954496704755.838,14458.2551810694,96.2122005571031,80.6,43.7667599678992,35.1347648221731,1.78963970438058,20.1,38.2381726007555,4.18763842884337,29.6150680597619
THA,2006,0.83006330336846,84.52,66567687.0,68.6753420333013,7.62993902351127,1525.12655757667,14.8592409407285,4.10011779691514,39.146855883906,81.1051047199059,3009.5,1982.50842033914,1001914296022.88,15051.0606748719,99.8178020386565,82.6,43.9487952396798,35.1406369277144,1.77374551325482,20.5,38.4485897159858,4.96781089246107,30.1680799710117
THA,2007,0.800044180541195,93.49,67102394.0,68.8722751702483,7.6331567331992,1569.87237319879,15.278685884143,4.5949892120282,39.4313718771557,81.0693752795779,3089.4,2055.60475234311,1056369857820.61,15742.6552891781,116.771802730566,90.59,44.1288731429466,35.1249779796042,1.96895689889236,21.6,38.6590068312161,5.43515169050809,30.5874496669954
THA,2008,0.768156179389423,91.5,67619830.0,71.4164181071068,7.41289770876317,1596.82835450256,15.7215257713603,0.947280170156503,39.4796129651304,80.6634855256321,3063.5,2070.32463701846,1074599620294.65,15891.7823409885,110.614530776993,89.88,44.3109084147272,34.9155395486308,2.56573732218482,22.6,38.8694239464464,1.72569884866334,30.5547305435118
THA,2009,0.73854268159594,93.46,68121080.0,64.4386124917652,7.29017796952946,1578.76107269732,16.186482950652,-1.42135866699509,38.6085988884387,80.2485831851192,2995.9,2061.66725483507,1067178239392.66,15665.9031153449,109.013734541517,91.12,44.4929436865079,34.3459453111237,2.45533908588378,22.8,39.0798410616767,-0.690618232300579,29.4621400654976
THA,2010,0.670617338343587,94.45,68579447.0,66.4861731592239,6.10681541683912,1718.62118368043,16.6838411514167,6.79479928649167,39.9217256985357,79.9781284182656,3071.3,2260.34193597391,1147359508197.33,16730.3697884488,139.43669638146,91.08,44.6749789582885,35.2414414061735,2.61946419836701,22.8,39.290258176907,7.51339053261624,30.9304788194459
THA,2011,0.621807948253872,100.68,69007208.0,70.8549093801611,12.9156731757451,1704.82334080525,17.02483891248,0.215045559628464,37.9813982711097,80.2318480725752,3257.2,2229.96994748722,1156998843533.66,16766.3477057883,143.798265999285,99.15,44.6828084323436,35.0384622912956,7.65167009249743,23.0,39.2855604924739,0.840132083053334,28.9958809244545
THA,2012,0.619591346751357,106.29,69436098.0,68.9512356297981,12.8615436696005,1818.19204308684,17.3356745939266,6.58038336266074,37.343694137461,80.1292852819204,3256.6,2366.79486223434,1240797911836.04,17869.6376607459,145.71158193878,106.02,44.6906379063986,34.0251326117168,7.56968759067608,23.6,39.2808628080409,7.24279620249642,27.9727873518431
THA,2013,0.587325698680648,105.0,69845114.0,67.1711410731483,12.1677661124825,1943.92303978228,17.6567970094515,2.08615316028128,36.8985884648101,80.6329097922326,3214.0,2420.57017760756,1274144300664.98,18242.4256715363,161.546190362147,105.04,44.6989868660573,33.9491189884319,8.83076465514677,23.2,39.2761651236078,2.68749556320556,27.5886907461759
THA,2014,0.530129864137193,102.95,70216367.0,68.3941351612178,12.5800867327152,1926.22582617648,17.9948558147419,0.45053655380589,36.7630403655124,79.5458802851248,3141.1,2418.62413644955,1286687854582.61,18324.6144674875,156.825235592872,103.13,44.7102115915363,33.3369218422752,9.45218535885955,24.4,39.2714674391748,0.984468863619426,27.5735009565918
THA,2015,0.460976294059414,96.59,70540795.0,67.6366902705865,13.1383644566273,1932.67390968815,18.3521733771217,2.65971785318402,36.1791773262667,28.5477759603551,2958.7,2487.5676550002,1327013259893.87,18811.9975100064,135.252101834005,96.14,44.7180410655914,33.1065395682045,10.9237564959169,22.6,39.2667697547417,3.13404724911635,27.3740711959416
THA,2016,0.451266062797186,100.46,70859841.0,67.0708839693011,20.9233645462311,1985.00530928348,18.7185037572975,2.96944155296718,35.586765405076,0.0,3064.5,2713.87851406553,1372598258295.69,19370.6087810117,146.941193905981,100.72,44.7102115915363,33.0188494587876,18.9619482005576,22.4,39.1806455401358,3.43515771692182,27.1442393688371
THA,2017,0.422963510133952,102.09,71160187.0,66.6728324663767,20.2627968718758,1988.13781529099,19.097653579803,3.73797800283087,35.018759526322,0.0,3172.3,2690.33862994205,1429941035379.45,20094.6778762603,166.988314035684,102.94,44.7199984341052,32.8127385542876,17.5784530448113,22.2,39.1101802736401,4.1776810321001,27.0148154805347
THA,2018,0.302929452489855,103.94,71376079.0,64.838096899332,23.9614675434309,1951.8556356188,19.5079895044389,3.90762624173355,34.7424896675041,0.0,3151.7,2700.1763433937,1490325590490.69,20879.9027821449,138.496115476872,106.38,44.7174470042475,32.7604699641802,19.638923446039,23.7,39.0397150071444,4.22287028746071,26.7128343918527
THA,2019,0.204609851692418,100.49,71522271.0,59.5188906218859,25.2454437243751,1989.81234226863,19.8130467641331,1.90583495758329,33.5939105133265,0.0,3021.6,2774.0170610634,1521839386454.41,21277.8392684764,113.527214570566,102.51,45.019475816712,32.5479594433244,21.8353127893136,23.9,38.9692497406487,2.11455779628278,25.6215964143658
THA,2020,0.166540794566251,96.08,71641484.0,51.4944266088919,18.8002557141409,1884.35073727402,20.1168013214243,-6.20637326420599,33.2907229678575,0.0,3014.1,2673.06020629053,1429767518144.89,19957.257140917,136.490349327558,97.97,45.5516837283955,32.9299843410519,16.1636964774532,20.9,38.8987844741529,-6.05003846851622,25.5553325712421
THA,2021,0.119758274714782,100.1,71727332.0,58.5593891849287,19.9307401392503,1848.06336093307,20.4202200076255,1.43062175645008,35.0317119667993,0.0,3062.0,2722.00282034748,1451959884645.39,20242.7700035656,147.621182923214,102.1,45.9981600735971,31.6905791853432,17.2997083499576,19.0,38.8283192076572,1.55216608426647,27.1516178101018
THA,2022,0.0111485454856964,104.2,71735329.0,65.3727641914083,,1867.46968312053,20.7359180021325,2.56894316437668,35.1217577031461,0.0,3105.6,2828.55049009394,1489425948925.17,20762.7952598527,227.527581008371,106.6,45.9981600735971,31.0307502593513,,,38.7578539411615,2.58037874709827,27.0235171521781
THA,2023,-0.0458651887192549,,71702435.0,65.4445629404008,,1851.27231424167,21.0542682406811,2.06455231923211,32.9804093286492,0.0,3071.7,2965.2131060821,1519478855208.06,21191.4540309274,287.332398706679,,43.7980778641195,30.9953218892521,,,38.6873886746658,2.01775095328327,24.9792811540709
THA,2024,-0.0480210554154485,,71668011.0,70.0497307410759,,,21.3644787770097,2.59107416696065,32.1359776535892,,,,1558101282937.74,21740.5403219261,,,,,,,,2.54182067735289,24.3302698519497
TGO,1980,2.81370914040505,38.23,2920894.0,48.1963087248093,,,11.7759836543195,11.3980264657862,23.8674496643517,,635.7,,,,1.36051282051282,37.61,55.8006986578415,35.8521787093216,,,,14.5769561096296,
TGO,1981,3.10607977315352,38.15,3013043.0,40.0775193797725,,,12.1023496843556,-6.27213322971586,22.7906976745194,,728.0,,,,1.13538461538462,37.75,55.8006986578415,35.8521787093216,,,,-3.31518607757171,
TGO,1982,3.32921037580506,37.95,3115042.0,52.7623285132078,,,12.4296879464226,-6.73950236153938,23.3963663330376,,868.6,,,,1.42974358974359,36.88,55.8006986578415,35.8521787093216,,,,-3.58240254629433,
TGO,1983,3.40386297842723,34.83,3222899.0,43.9932885905653,,,12.775640812821,-8.57940681281325,20.2013422818263,,748.5,,,,1.56974358974359,34.11,55.8006986578415,35.8521787093216,,,,-5.41400778468125,
TGO,1984,3.35426281603711,37.95,3332837.0,51.2109623964846,,,13.1388063682682,2.07366660498529,18.8017845761194,,892.4,,,,3.45,36.7,56.7199852914139,36.7714653428939,,,,5.55555504120959,
TGO,1985,3.19646790270683,40.87,3441091.0,48.4087591239789,,,13.5313771126657,2.23485801628915,18.8905109488161,,840.4,,,,4.9,41.85,56.8119139547711,36.7714653428939,,,,5.55555216355627,
TGO,1986,3.05819633409292,41.31,3547952.0,43.9303211757333,,,13.95610763618,-1.47318630066768,19.7876973325684,,787.9,,,,5.55,42.02,56.8119139547711,36.7714653428939,,,,1.5865043145251,
TGO,1987,3.04115055889201,41.62,3657508.0,41.3958444326185,,,14.3966602397042,-2.50049188427492,21.0708577517229,,721.3,,,,5.38514851485149,43.29,57.1796286082,37.1391799963229,,,,0.510162180697307,
TGO,1988,3.02245229087264,44.62,3769742.0,39.0924532880086,,,14.8551280167184,3.46737802581953,21.4996360106086,,843.8,,,,5.9419512195122,44.3,57.7312005883434,37.6907519764663,,,,6.64236977029414,
TGO,1989,2.9707327038728,47.0,3883411.0,39.8980537534018,,,15.1619285210862,1.01414304624012,24.3280815570523,,917.9,,,,6.09756097560976,48.1,57.7312005883434,37.6907519764663,,,,4.06002168353761,
TGO,1990,2.92706719938482,48.29,3998761.0,26.2431662207092,60.126582278481,315.953651491172,15.4828958269824,-3.12127104191437,26.2257182737995,15.059087812163,746.8,85.7765692923383,8947626991.79903,2237.59984450159,5.55555555555556,49.78,58.0989152417724,38.0584666298952,0.0,78.7,25.0351167494025,-0.243656134474705,
TGO,1991,2.87903492173325,46.98,4115560.0,25.2755212204384,68.1978798586572,314.42119632528,15.8182604554423,-3.51808811446465,27.9725046947951,13.3253035844806,762.7,79.6975381236089,8884996511.28052,2158.8791103229,5.61913875598086,48.25,58.5585585585586,38.4261812833241,0.0,82.1,24.8637690751976,-0.699967495023117,
TGO,1992,2.82817980707413,44.24,4233617.0,20.9734692071733,76.6467065868264,309.393783541324,16.1702156808233,-6.65824410271924,28.0853950685144,9.53357591582926,863.3,87.8681278915877,8531312626.74897,2015.13566927499,5.79620853080569,46.57,58.9262732119875,38.7938959367531,0.0,85.8,24.6924214009928,-3.98068681380465,
TGO,1993,-0.619923393390871,52.46,4207453.0,17.4744220687562,79.5847750865052,312.793696092907,17.1075707797568,-14.5678518231059,25.2292278928697,6.37825748353012,877.6,67.0239215981735,7243440390.6685,1721.57369094046,4.63145539906103,54.46,59.3859165287737,39.161610590182,0.0,91.5,24.521073726788,-15.0958274819575,
TGO,1994,0.367409145018829,50.85,4222940.0,25.8206173525239,59.919028340081,352.437030991428,17.9226557800963,14.5607335600402,25.7087944092196,13.2347843435557,721.7,76.2501953615254,8328682642.77856,1972.24744911805,5.19255813953488,56.08,59.7536311822026,39.529325243611,0.0,81.6,24.3497260525832,14.9824143442687,
TGO,1995,4.35317658540081,52.37,4410832.0,22.757328411858,82.5242718446602,355.14721431719,18.0428998429321,3.251830754685,27.1004198897989,12.5378656115632,849.3,96.5804183881862,8982137117.67061,2036.38159822696,7.57281105990783,56.2,60.1213458356315,39.8970398970399,0.0,81.5,24.1783783783784,7.84583232329818,
TGO,1996,3.71683062271981,61.55,4577860.0,24.9487642090534,79.8319327731092,383.678171595311,18.2811837845631,4.86520885642857,25.7107323641827,17.7954087464981,811.4,98.954533340906,9775817762.26672,2135.45581609458,8.04200913242009,68.49,60.4890604890605,40.2647545504688,0.0,73.1,24.0070307041736,8.83621162979911,
TGO,1997,3.1642270108889,61.69,4725030.0,22.4803455277269,64.5833333333333,366.369586981837,18.6226754115847,10.8148777243175,23.4014487368866,12.6394245646953,981.1,100.316823385248,11181323992.7407,2366.40275146203,7.60633484162896,70.0,61.2244897959184,40.6324692038978,0.0,79.6,23.8356830299687,14.3773775724317,
TGO,1998,2.83523702193122,61.06,4860913.0,23.0714679668889,57.1428571428571,380.66653946544,19.0343871614242,-5.03100668335236,25.0035458184975,15.0014029739774,835.4,101.421276208811,10924167342.0005,2247.34887088094,7.71300448430493,69.23,61.5922044493473,41.0001838573267,0.0,77.8,23.6643353557639,-2.29987657013699,
TGO,1999,2.8265430635721,65.19,5000269.0,21.3398045064219,48.1308411214953,423.087966825069,19.4568732202208,-0.374384292236613,23.8802933141669,17.2057088174856,1060.8,108.194179153162,11195278022.1383,2238.93514971661,7.51111111111111,69.38,61.9599191027763,41.3678985107557,0.0,73.1,23.4929876815591,2.48175143834959,
TGO,2000,2.75685668978126,61.66,5140037.0,20.1566604038007,51.4285714285714,410.709755967091,19.9040006910456,-3.48137743099034,30.3028277716404,14.8563045821734,1058.3,91.2444793685337,11107565301.5467,2160.98936671986,8.73920704845815,63.8,62.5114910829197,41.7356131641846,-5.71428571428571,77.1,23.3216400073543,-0.783479610048047,
TGO,2001,2.63698635340958,65.73,5277382.0,20.5095258930009,75.2213114754098,399.0750456746,20.3829853514489,-1.80051289577126,29.378615828701,12.6019465484194,1150.3,94.7439469039763,11199029298.6557,2122.08047449583,8.38427947598253,71.75,62.8792057363486,42.1033278176135,35.0573770491803,82.0,23.2672292700864,0.823438752111855,
TGO,2002,2.54239439953807,64.63,5413274.0,21.4381414951577,60.281045751634,403.003921585395,20.8946933039044,1.22021333251216,30.2198722396307,13.4117132496877,1131.1,92.5502754894727,11627573882.1751,2147.97438337226,5.75584415584416,71.94,63.2469203897775,42.4710424710425,4.0718954248366,78.7,23.2128185328185,3.82662257675142,
TGO,2003,2.53342165886308,65.22,5552167.0,23.2296007315538,,414.930640834631,21.421185637968,4.05045980094252,31.0741865107219,15.8311774358759,1154.7,98.8803110569261,12408966779.4352,2234.9772223053,7.85836909871245,70.41,63.6146350432065,42.8387571244714,64.8693181818182,74.8,23.1584077955507,6.72017142336034,
TGO,2004,2.56650535233,67.79,5696508.0,23.5743613846765,,408.681044425446,21.9551872831566,-3.48771797818526,28.0385993487176,14.7317835581863,1094.8,103.045585119866,12287524523.4137,2157.02751991461,3.67106382978723,73.43,63.9823496966354,43.2064717779004,83.3010752688172,76.1,23.1039970582828,-0.978665332738743,
TGO,2005,2.56701065239466,73.34,5844631.0,25.1826385889901,,405.977841108573,22.4992818195024,-7.08238240739422,24.4297143100711,13.7918613464323,1132.6,105.053680891061,11714151842.2525,2004.25858232153,0.288607594936709,69.43,64.7177790034933,43.5741864313293,85.6825396825397,77.2,23.0495863210149,-4.66629938413338,
TGO,2006,2.80124284070489,78.99,6010668.0,25.0476964469213,77.4774774774775,394.055905016925,22.3598441970177,-0.185446239510938,25.0511547993418,12.0104829921543,1130.7,104.148157908572,12024592340.4005,2000.54176015054,0.0138075313807531,72.85,65.6370656370656,43.9419010847582,36.4864864864865,79.7,22.995175583747,2.65013209943473,
TGO,2007,2.91316321758797,80.87,6188344.0,24.6220782432091,91.8367346938776,397.655539665075,22.1964066638829,-4.01253675594127,26.2884068802458,12.7694758613994,1121.6,97.9260364323638,11883286918.7747,1920.26928670654,0.0,75.2,66.0967089538518,44.3096157381872,44.8979591836735,79.9,22.9407648464791,-1.1751368996605,19.0928210841583
TGO,2008,2.87454303428326,89.1,6368812.0,25.3265405456755,,402.378522599678,22.0433418351806,1.08763807878243,23.8623598669256,14.2882051932072,1144.4,100.175668554826,12362850408.795,1941.15486668393,0.0004115226337448,81.26,66.8321382607097,44.6773303916161,67.479674796748,76.5,22.8863541092113,4.03561315398862,16.1759132215501
TGO,2009,2.83367889670304,96.58,6551865.0,25.861394271016,,475.809640060012,21.8989707510762,2.50752980203251,20.6628801268805,24.0875485324197,1242.9,118.439558812643,13037096900.4961,1989.82990346963,2.90897959183673,87.3,67.1998529141386,45.045045045045,71.7105263157895,63.4,22.8319433719434,5.45381096920332,15.1024937034854
TGO,2010,2.72101716624637,94.72,6732590.0,27.725448533842,,462.98057269746,21.7807262881001,3.0128532960463,20.3367703008535,22.0228471093058,1187.4,118.379405251174,13800332095.7513,2049.78055930203,9.83780487804878,88.66,67.3837102408531,45.2289023717595,51.3966480446927,65.8,22.7775326346755,5.85433399076879,14.5912364779847
TGO,2011,2.69461885935872,102.45,6916474.0,31.4946443044053,,453.365161767995,21.668830100424,3.00979901078473,21.7641490273027,19.8932077937309,1226.3,128.678283183021,14603960793.0845,2111.47483429916,10.2040650406504,99.23,67.3837102408531,45.2289023717595,74.0697674418605,69.1,22.723110865968,5.82325622135289,14.2284890680882
TGO,2012,2.62923384476283,98.81,7100736.0,32.9891841943212,92.2625698324022,440.167543009316,21.5722567350765,3.54419025979273,20.0154635557205,17.2042448956508,1112.4,147.308673354424,15524406713.7785,2186.30951971437,5.02301886792453,96.27,70.7850707850708,48.7221915793344,42.5418994413408,72.7,22.6686890972605,6.30271426865185,11.9533213358718
TGO,2013,2.56796697750519,92.82,7285442.0,34.1111182093587,47.1464968152866,416.704251255243,21.4879893354446,3.14131477096478,22.1985252830239,18.3650533570403,1012.6,86.8856000775245,16428587079.3636,2254.98838359616,11.7249056603774,89.77,70.2334988049274,48.7221915793344,23.5796178343949,76.2,22.614267328553,5.82425069283059,14.5441187843168
TGO,2014,2.53448135308774,100.84,7472450.0,29.138898093163,57.7115384615385,423.574336787573,21.4118528728864,2.98962512799103,23.8476899946971,18.5661727916205,1153.1,173.035617501623,17354048389.6056,2322.40408294543,1.84603773584906,102.38,70.2334988049274,48.7221915793344,0.0192307692307692,81.4,22.5598455598456,5.63323739145223,16.176499471291
TGO,2015,2.52060746648904,98.5,7663195.0,26.7106298715077,18.7218543046358,400.729144636073,21.3389584892463,2.84283067512166,22.8664405321196,20.1168362601205,1236.2,91.6066992944849,18302974936.7812,2388.42609861568,3.32679245283019,97.1,70.2334988049274,48.7221915793344,0.178807947019868,81.0,22.5054237911381,5.4680413807304,14.8812969958509
TGO,2016,2.51398996486491,100.67,7858289.0,26.7314987347852,45.3644444444444,422.806732967677,21.2677212558612,1.62761006802251,20.8834101208291,0.0,1130.8,126.617893538912,19074427736.4754,2427.30036226403,13.6781132075472,100.52,70.2334988049274,48.7221915793344,0.0311111111111111,80.7,22.4510020224306,4.21490387414525,13.3433190431507
TGO,2017,2.49897565726694,105.89,8057140.0,25.3020773539116,29.1432624113475,403.914387052726,21.1999046808173,1.44098718199137,20.4016230144725,0.0,1137.2,170.40786184676,19838914128.2775,2462.27744935268,5.77924528301887,105.63,70.2334988049274,48.7221915793344,13.8241134751773,78.4,22.3965802537231,4.00791259566937,13.0097567985773
TGO,2018,2.47179798610782,110.32,8258778.0,24.3300490503804,18.464527027027,411.046357385599,21.13804245616,2.23660975297031,21.0297583235942,0.0,1145.2,125.442286982408,20790226431.5805,2517.34898693009,15.3569811320755,111.28,70.2334988049274,48.7221915793344,-15.3192567567568,76.7,22.3421584850156,4.79518333086139,13.2526439079663
TGO,2019,2.44351209316794,114.05,8463068.0,23.9077019130487,22.9046822742475,414.030094273623,21.095304917791,2.39010092347198,19.3444197845633,0.0,1143.0,167.078889121534,21813694603.5385,2577.51616831372,2.67622641509434,112.96,70.2334988049274,48.7221915793344,2.50334448160535,78.6,22.2877367163081,4.92283321360694,12.6335068962647
TGO,2020,2.41247393684318,116.4,8669720.0,23.0702588042531,14.8220757825371,424.622212633086,21.0834721305878,-0.272860217710488,20.0749387018129,0.0,1150.3,162.058290233133,22285369193.2973,2570.48315208534,2.67622641509434,112.72,70.2334988049274,48.7221915793344,2.4662273476112,76.2,22.2333149476007,2.16228657424364,13.7268253399105
TGO,2021,2.37825002957617,121.99,8878379.0,23.134296059825,25.5873786407767,422.533121281505,21.111894412257,2.65816955613427,20.0216103603057,0.0,1149.5,161.515970426583,23428363747.2408,2638.81095267963,2.06490566037736,115.76,70.2334988049274,48.7221915793344,11.8333333333333,75.1,22.1788931788932,5.12890113701732,12.513699123235
TGO,2022,2.35270895960531,128.24,9089738.0,25.0092104865492,,425.402321106605,21.1834158476295,3.82282707918289,21.2257076314374,0.0,1167.8,191.864716012717,24903047324.7446,2739.68813234711,13.2966037735849,119.81,70.2334988049274,48.7221915793344,,,22.1244714101857,6.29443692019429,11.6124998586211
TGO,2023,2.33345506489111,,9304337.0,,,,21.2977560894452,3.74285776726366,20.8440819907588,,1173.1,,26445072845.206,2842.23076240747,17.3615094339623,,70.2334988049274,48.7221915793344,,,22.0700496414782,6.19211576941919,11.7249882100664
TGO,2024,2.2413667842624,,9515236.0,,,,21.4680329526246,4.17083175833358,20.4297482322341,,,,28172476918.4511,2960.77542569109,,,,,,,,6.53204505563791,11.4100893223643
TTO,1980,1.26538941118977,114.28,1121744.0,,,,,9.00273729982064,59.8369637845784,,3201.6,,,,132.933333333333,272.72,19.6881091617934,11.6959064327485,,,,10.390810137283,
TTO,1981,1.18643266562972,104.88,1135132.0,,,,,3.3438016346711,55.5473452118467,,3038.6,,,,126.711538461538,235.49,18.5185185185185,10.1364522417154,,,,4.57720855842996,
TTO,1982,1.12087632947758,112.77,1147927.0,,,,,2.64235227595077,46.7953114603061,,3073.9,,,,102.222222222222,224.32,17.1539961013645,8.7719298245614,,,,3.79931807144484,
