year,pop_total,pop_growth,electricity_from_renewables_pct,renewable_energy_consumption_pct,forest_area_pct,gdp_2021_ppp_intl_usd,gdp_growth_pct,gdp_per_capita_2021_ppp_intl_usd,gdp_per_capita_growth_pct,imports_pct_of_gdp,industry_pct_of_gdp,manufacturing_pct_of_gdp,exports_pct_of_gdp,iso_alpha_3
2008,40424148.0,1.01288878477428,-4.89543743387437,7.7,11.2715725931691,1118070705029.3,4.05723310346406,27658.4853446831,3.00856892610517,18.341772996414,26.2724599395946,16.5383660984547,22.0609003826242,ARG
2007,40016763.0,0.991101935066697,-5.62458936985336,7.7,11.3871867109537,1074476681421.66,9.00765087504757,26850.6645932771,7.93261011269163,18.2824203070644,27.4152361334783,17.0474154518997,22.6627503115066,ARG
2006,39622115.0,1.02824760534561,-7.31189838158034,9.2,11.5028008287384,985689236302.599,8.04715150043027,24877.2493922296,6.94185160089025,17.4067852681036,29.2032796652469,17.8777938558849,23.0266946038115,ARG
2005,39216789.0,1.02745772191722,-6.77995442899148,9.6,11.618414946523,912276929668.686,8.85165992013437,23262.4075792816,7.73898107569444,17.3053942367662,28.6263140439084,18.340415936715,23.2458767338576,ARG
2004,38815916.0,1.01407652046238,-6.53791920541689,9.3,11.7340290643076,838091886093.454,9.02957330068152,21591.449396517,7.92951713016532,16.8450266849578,28.816922006834,18.9370136214371,23.8476194239892,ARG
2003,38424282.0,1.0331399769648,-8.06667318302272,10.8,11.8496431820922,768683083609.037,8.83704079576924,20005.1385113465,7.71839038006088,14.7138051046861,32.6450990996503,22.4867505875749,25.9309429264224,ARG
2002,38029349.0,1.06941318335345,-9.79444477276757,11.6,11.9652572998769,706269738674.223,-10.8944848285903,18571.7020471274,-11.8423138177008,13.370127359396,30.5577370913046,20.347773913878,28.3825969991682,ARG
2001,37624825.0,1.09794672757946,-9.75152516804579,11.5,12.0808714176615,792621800475.08,-4.40883968258557,21066.4581290433,-5.45263903304014,10.2732473690136,25.2434339827333,16.0932258763829,11.5790080825317,ARG
2000,37213984.0,1.13312807570195,-7.47880756006023,9.8,12.1964855354461,829178972033.759,-0.78899893905691,22281.3814299958,-1.90684139222867,11.6360695451767,25.9908360111364,16.4942719439838,10.9863752325576,ARG
2022,2969200.0,0.2326562627468,,,11.522655426765,53107640868.8087,12.5999999997766,17886.1783877168,12.3383335576379,51.1857978005492,25.4370966437794,11.4321929622965,50.2249804603907,ARM
2021,2962300.0,0.0270096898904032,2.10305876380251,9.1,11.5300316122234,47164867556.762,5.80000000065645,15921.705281964,5.77142760758333,43.7634488327132,26.3643404113901,11.0315905634186,35.9064399901267,ARM
2020,2961500.0,-0.0337609726366775,0.750191375350855,8.4,11.5374077976818,44579269902.145,-7.19999999920631,15052.9359791136,-7.16866452731679,39.7238206244142,26.8172956979296,12.344909801717,29.7649869151934,ARM
2019,2962500.0,-0.219168932037313,0.36202630550853,10.3,11.5447839831401,48038006359.6591,7.59999999853918,16215.3607965094,7.83608438672164,54.7633527667858,24.9716084573435,11.7114918602964,41.3508013620849,ARM
2018,2969000.0,-0.349674218173286,0.275959440379926,11.1,11.5521601685985,44644987323.7094,5.19999999965324,15037.0452420712,5.56850117850011,53.0802129926047,24.7565578476257,11.2719184358436,39.3928940286073,ARM
2017,2979400.0,-0.432038450211669,0.0321957501609788,12.6,11.5595363540569,42438200878.1907,7.50000000164144,14243.8749003795,7.96544606461424,48.9863308847905,25.8095323791656,10.631126108104,38.2160456550464,ARM
2016,2992300.0,-0.410212518071397,0.0323991797676008,13.2,11.5669125395153,39477396165.156,0.199999999825991,13192.9940731731,0.611877151180408,42.3336875987152,25.5771330395605,10.2846499812967,33.7442798606396,ARM
2015,3004600.0,-0.305729335573084,0.0423131170662906,10.7,11.5742887249737,39398598967.2899,3.19999999896625,13112.7600902915,3.51599547257022,41.9566831307241,25.7086994351611,9.20617105938632,29.7253912120334,ARM
2014,3013800.0,-0.271712284863074,0.0593624983868886,7.1,11.5815946610467,38176936984.1905,3.60000000058993,12667.3757330249,3.88187670110254,47.2184853070945,25.2705329463993,9.66640553649803,28.5603816555446,ARM
2013,3022000.0,-0.0694662703047376,0.0544747081712062,6.8,11.5889005971198,36850325274.1053,3.3,12194.0189523843,3.37178358702843,49.2015630214006,26.7090481417071,9.68257531952384,28.3534851384818,ARM
2012,3024100.0,-0.125578337719131,-0.0858636137381782,6.6,11.5962065331928,35673112559.6373,7.20000000096486,11796.2741177994,7.33470454115984,48.3998644778265,27.8270946139077,9.42475853227752,27.5618114828439,ARM
2011,3027900.0,-0.556590762896162,0.0713324360699865,8.0,11.6035124692659,33277157238.1681,4.69999999867412,10990.177099035,5.28437530828725,46.9123853980322,,,22.5231882640131,ARM
2010,3044800.0,-0.693856288987436,0.109382221537513,9.4,11.610818405339,31783340246.9814,2.2000000002151,10438.5641904169,2.91158696816194,44.8945606568078,,,19.7484153168252,ARM
2009,3066000.0,-0.685835845567342,0.0828777993299242,7.8,11.618124341412,31099158754.3195,-14.1000000006998,10143.2350796867,-13.5088421403002,42.6033349980631,,,14.6709007461363,ARM
