future_id,iso_alpha_3,2022,2030,vulnerability_threshold,vulnerability_indicator,ndc_unconditional
id_MEX_301,MEX,787.6710940988988,839.0489596807936,808.5321233904137,1,644.2
id_MEX_302,MEX,787.6710940988988,783.8710886017161,808.5321233904137,0,644.2
id_MEX_303,MEX,787.6710940988988,786.2506346809266,808.5321233904137,0,644.2
id_MEX_304,MEX,787.6710940988988,766.2188534355151,808.5321233904137,0,644.2
id_MEX_305,MEX,787.6710940988988,813.2627817036008,808.5321233904137,1,644.2
id_MEX_306,MEX,787.6710940988988,772.4668924549106,808.5321233904137,0,644.2
id_MEX_307,MEX,787.6710940988988,785.9394636368023,808.5321233904137,0,644.2
id_MEX_308,MEX,787.6710940988988,806.6731835977353,808.5321233904137,0,644.2
id_MEX_309,MEX,787.6710940988988,876.4558674488796,808.5321233904137,1,644.2
id_MEX_31,MEX,787.6710940988988,809.5536279204897,808.5321233904137,1,644.2
id_MEX_310,MEX,787.6710940988988,874.3935785319683,808.5321233904137,1,644.2
id_MEX_311,MEX,787.6710940988988,792.9226108249178,808.5321233904137,0,644.2
id_MEX_312,MEX,787.6710940988988,829.4320663641586,808.5321233904137,1,644.2
id_MEX_313,MEX,787.6710940988988,846.6612816912884,808.5321233904137,1,644.2
id_MEX_314,MEX,787.6710940988988,867.9902133679855,808.5321233904137,1,644.2
id_MEX_315,MEX,787.6710940988988,871.6847616330572,808.5321233904137,1,644.2
id_MEX_316,MEX,787.6710940988988,724.6015357603336,808.5321233904137,0,644.2
id_MEX_317,MEX,787.6710940988988,797.3762759747315,808.5321233904137,0,644.2
id_MEX_318,MEX,787.6710940988988,819.9860274339445,808.5321233904137,1,644.2
id_MEX_319,MEX,787.6710940988988,793.7302467863615,808.5321233904137,0,644.2
id_MEX_32,MEX,787.6710940988988,777.1596828780577,808.5321233904137,0,644.2
id_MEX_320,MEX,787.6710940988988,855.7145820809532,808.5321233904137,1,644.2
id_MEX_321,MEX,787.6710940988988,826.1951429555605,808.5321233904137,1,644.2
id_MEX_322,MEX,787.6710940988988,776.3584180814244,808.5321233904137,0,644.2
id_MEX_323,MEX,787.6710940988988,896.3936243167659,808.5321233904137,1,644.2
id_MEX_324,MEX,787.6710940988988,815.4877042283225,808.5321233904137,1,644.2
id_MEX_325,MEX,787.6710940988988,858.6611079382093,808.5321233904137,1,644.2
id_MEX_326,MEX,787.6710940988988,792.5429774507559,808.5321233904137,0,644.2
