,type,C_level
210,"Government spending for efficient or cleaner technologies,Incentives and investments,Government spending for energy efficiency and recycling,Incentives and investments,Innovation funds,Incentives and investments",C4
44,"Government spending for energy access,Incentives and investments",C4
166,"Government spending for energy access,Incentives and investments,Government spending for energy affordability,Incentives and investments",C4
17,"Government spending for energy affordability,Incentives and investments",C4
162,"Government spending for energy affordability,Incentives and investments,Government spending for energy efficiency and recycling,Incentives and investments",C4
43,"Government spending for energy efficiency and recycling,Incentives and investments",C4
214,"Government spending for energy efficiency and recycling,Incentives and investments,Carbon pricing instruments,Regulations",C2
281,"Government spending for energy efficiency and recycling,Incentives and investments,Government spending in biofuels,Incentives and investments",C4
158,"Government spending for energy efficiency and recycling,Incentives and investments,Government spending in carbon capture, use and storage,Incentives and investments",C4
206,"Government spending for energy efficiency and recycling,Incentives and investments,Government spending in hydrogen,Incentives and investments,Innovation funds,Incentives and investments",C4
197,"Government spending for energy efficiency and recycling,Incentives and investments,Innovation funds,Incentives and investments",C4
25,"Government spending for energy-efficient buildings,Incentives and investments",C4
46,"Government spending for energy-efficient buildings,Incentives and investments,Decent jobs,,Universal energy access,",C4
152,"Government spending for energy-efficient buildings,Incentives and investments,Government spending for efficient or cleaner technologies,Incentives and investments",C4
207,"Government spending for energy-efficient buildings,Incentives and investments,Government spending for efficient or cleaner technologies,Incentives and investments,Government spending for energy efficiency and recycling,Incentives and investments,Government spending in carbon capture, use and storage,Incentives and investments",C4
161,"Government spending for energy-efficient buildings,Incentives and investments,Government spending for energy affordability,Incentives and investments",C4
41,"Government spending for energy-efficient buildings,Incentives and investments,Government spending for energy efficiency and recycling,Incentives and investments",C4
146,"Government spending for energy-efficient buildings,Incentives and investments,Government spending for low-emissions and efficient transport,Incentives and investments",C4
196,"Government spending for energy-efficient buildings,Incentives and investments,Government spending for low-emissions and efficient transport,Incentives and investments,Government spending in low-carbon electricity,Incentives and investments",C4
201,"Government spending for energy-efficient buildings,Incentives and investments,Government spending in carbon capture, use and storage,Incentives and investments",C4
48,"Government spending for energy-efficient buildings,Incentives and investments,Government spending in charging infrastructure,Incentives and investments",C4
215,"Government spending for energy-efficient buildings,Incentives and investments,Government spending in electricity networks,Incentives and investments",C4
275,"Government spending for energy-efficient buildings,Incentives and investments,Government spending in electricity networks,Incentives and investments,Government spending for energy efficiency and recycling,Incentives and investments,Government spending in low-carbon electricity,Incentives and investments,Government spending in hydrogen,Incentives and investments",C4
156,"Government spending for energy-efficient buildings,Incentives and investments,Government spending in low-carbon electricity,Incentives and investments",C4
164,"Government spending for energy-efficient buildings,Incentives and investments,Government spending in low-carbon electricity,Incentives and investments,Government spending in biofuels,Incentives and investments",C4
47,"Government spending for energy-efficient buildings,Incentives and investments,Universal energy access,",C4
2,"Government spending for low-emissions and efficient transport,Incentives and investments",C4
193,"Government spending for low-emissions and efficient transport,Incentives and investments,Government spending  in storage,Incentives and investments",C4
212,"Government spending for low-emissions and efficient transport,Incentives and investments,Government spending in active mobility,Incentives and investments",C4
155,"Government spending for low-emissions and efficient transport,Incentives and investments,Government spending in biofuels,Incentives and investments",C4
50,"Government spending for low-emissions and efficient transport,Incentives and investments,Government spending in low-carbon electricity,Incentives and investments",C4
125,"Government spending for low-emissions and efficient transport,Incentives and investments,Government spending in low-carbon electricity,Incentives and investments,Government spending  in storage,Incentives and investments",C4
135,"Government spending for low-emissions and efficient transport,Incentives and investments,Government spending in low-carbon electricity,Incentives and investments,Government spending in biofuels,Incentives and investments",C4
286,"Government spending for low-emissions and efficient transport,Incentives and investments,Government spending in low-carbon electricity,Incentives and investments,Government spending in hydrogen,Incentives and investments",C4
187,"Government spending for low-emissions and efficient transport,Incentives and investments,Government spending in low-carbon electricity,Incentives and investments,Grants,Resource push,Access to facilities,Resource push,Education and training,Resource push,Awards,Knowledge management",C4
287,"Government spending for low-emissions and efficient transport,Incentives and investments,Grants,Resource push",C4
159,"Government spending for low-emissions and efficient transport,Incentives and investments,Innovation funds,Incentives and investments",C4
153,"Government spending for low-emissions and efficient transport,Incentives and investments,Tax credits and exemptions,Incentives and investments",C2
32,"Government spending in active mobility,Incentives and investments",C4
234,"Government spending in active mobility,Incentives and investments,Government spending in high-speed rail,Incentives and investments",C4
35,"Government spending in biofuels,Incentives and investments",C4
36,"Government spending in biofuels,Incentives and investments,Government spending in hydrogen,Incentives and investments",C4
34,"Government spending in biofuels,Incentives and investments,Grants,Resource push",C4
59,"Government spending in carbon capture, use and storage,Incentives and investments",C4
171,"Government spending in carbon capture, use and storage,Incentives and investments,Government spending in hydrogen,Incentives and investments",C4
66,"Government spending in charging infrastructure,Incentives and investments",C4
24,"Government spending in electricity networks,Incentives and investments",C4
199,"Government spending in electricity networks,Incentives and investments,Government spending  in storage,Incentives and investments",C4
216,"Government spending in electricity networks,Incentives and investments,Government spending for energy efficiency and recycling,Incentives and investments",C4
204,"Government spending in electricity networks,Incentives and investments,Government spending for energy efficiency and recycling,Incentives and investments,Government spending in low-carbon electricity,Incentives and investments,Government spending  in storage,Incentives and investments,Government spending in hydrogen,Incentives and investments,Government spending in training programmes,Incentives and investments",C4
272,"Government spending in electricity networks,Incentives and investments,Government spending for energy efficiency and recycling,Incentives and investments,Government spending in low-carbon electricity,Incentives and investments,Government spending in biofuels,Incentives and investments,Decent jobs,,Universal energy access,",C4
209,"Government spending in electricity networks,Incentives and investments,Government spending for low-emissions and efficient transport,Incentives and investments,Government spending in low-carbon electricity,Incentives and investments,Government spending in hydrogen,Incentives and investments,Innovation funds,Incentives and investments",C4
157,"Government spending in electricity networks,Incentives and investments,Government spending in carbon capture, use and storage,Incentives and investments",C4
154,"Government spending in electricity networks,Incentives and investments,Government spending in carbon capture, use and storage,Incentives and investments,Tax incentives,Resource push",C2
290,"Government spending in electricity networks,Incentives and investments,Government spending in charging infrastructure,Incentives and investments",C4
49,"Government spending in electricity networks,Incentives and investments,Government spending in hydrogen,Incentives and investments",C4
177,"Government spending in electricity networks,Incentives and investments,Government spending in low-carbon electricity,Incentives and investments",C4
61,"Government spending in electricity networks,Incentives and investments,Government spending in low-carbon electricity,Incentives and investments,Government spending in hydrogen,Incentives and investments",C4
42,"Government spending in high-speed rail,Incentives and investments",C4
11,"Government spending in hydrogen,Incentives and investments",C4
121,"Government spending in hydrogen,Incentives and investments,Innovation funds,Incentives and investments",C4
127,"Government spending in just transition planning,Incentives and investments",C3
124,"Government spending in just transition planning,Incentives and investments,Decent jobs,,Universal energy access,",C3
5,"Government spending in low-carbon electricity,Incentives and investments",C4
37,"Government spending in low-carbon electricity,Incentives and investments,Government spending  in storage,Incentives and investments",C4
122,"Government spending in low-carbon electricity,Incentives and investments,Government spending  in storage,Incentives and investments,Inflexion in export taxes and support,Trade policies",C2
40,"Government spending in low-carbon electricity,Incentives and investments,Government spending in biofuels,Incentives and investments",C4
